genes	com_341	com_738	com_862	com_876	com_900	com_908	com_947	com_962	com_JB	locus_tag	ftype	bp	EC	COG	product
fabR	1	1	1	1	1	1	1	1	1	BGMKIKPO_02878	CDS	567			HTH-type transcriptional repressor FabR
fabZ	1	1	1	1	1	1	1	1	1	HGOKLDLI_02896	CDS	441	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
fadA	1	1	1	1	1	1	1	1	1	LKFOIOBI_00655	CDS	1185	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
fadB2	1	1	1	1	1	1	1	1	1	ADMANBBD_03014	CDS	855	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
fadD3	1	1	1	1	1	1	1	1	1	LDOPIMGM_01532	CDS	1683	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
fadH	1	1	1	1	1	1	1	1	1	PIPEENFB_00855	CDS	765	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
fadI	1	1	1	1	1	1	1	1	1	AGBMBALL_00137	CDS	1317	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
fadN	1	1	1	1	1	1	1	1	1	LKFOIOBI_00656	CDS	2259	1.1.1.35	COG1024	putative 3-hydroxyacyl-CoA dehydrogenase
fadR	1	1	1	1	1	1	1	1	1	LDOPIMGM_01529	CDS	639			Fatty acid metabolism regulator protein
fapR	1	1	1	1	1	1	1	1	1	PIPEENFB_00018	CDS	570		COG2050	Transcription factor FapR
fatC	1	1	1	1	1	1	1	1	1	DPNJBGPE_01618	CDS	1140			Ferric-anguibactin transport system permease protein FatC
fatD	1	1	1	1	1	1	1	1	1	MCMEOHNO_01045	CDS	1002			Ferric-anguibactin transport system permease protein FatD
fba	1	1	1	1	1	1	1	1	1	GGCDANDK_00867	CDS	1023	4.1.2.13		Fructose-bisphosphate aldolase
fbaA	1	1	1	1	1	1	1	1	1	MCMEOHNO_02284	CDS	855	4.1.2.13	COG0191	putative fructose-bisphosphate aldolase
fbiB	1	1	1	1	1	1	1	1	1	LDOPIMGM_02814	CDS	1128	6.3.2.31	COG0778	Coenzyme F420:L-glutamate ligase
fbp	1	1	1	1	1	1	1	1	1	AGDBFNGI_01474	CDS	960	5.2.1.8	COG0545	FK506-binding protein
fbpA	1	1	1	1	1	1	1	1	1	FOMIDEFL_01286	CDS	789	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85A
fda	1	1	1	1	1	1	1	1	1	EPECHOLL_02456	CDS	891	4.1.2.13	COG3588	Fructose-bisphosphate aldolase class 1
fdh	1	1	1	1	1	1	1	1	1	JOIMIODL_01164	CDS	1047	1.1.1.122		D-threo-aldose 1-dehydrogenase
fdhA	1	1	1	1	1	1	1	1	1	JOIMIODL_01494	CDS	567	1.17.1.9		Formate dehydrogenase subunit alpha
fdhD	1	1	1	1	1	1	1	1	1	DNNBHHGK_02036	CDS	873		COG1526	Sulfur carrier protein FdhD
fdnG	1	1	1	1	1	1	1	1	1	AGDBFNGI_03662	CDS	2925	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
fdnH	1	1	1	1	1	1	1	1	1	MCCDGJGB_01454	CDS	1149		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
fdtB	1	1	1	1	1	1	1	1	1	LJFCBDKD_00134	CDS	1110	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
feaB	1	1	1	1	1	1	1	1	1	MCCDGJGB_02206	CDS	1416	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
fecE	1	1	1	1	1	1	1	1	1	JOIMIODL_03631	CDS	777		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
femA	1	1	1	1	1	1	1	1	1	PIPEENFB_02312	CDS	1263	2.3.2.17	COG2348	Aminoacyltransferase FemA
femB	1	1	1	1	1	1	1	1	1	IFGBOHMA_00708	CDS	1260	2.3.2.18	COG2348	Aminoacyltransferase FemB
femX	1	1	1	1	1	1	1	1	1	EPECHOLL_00473	CDS	1251	2.3.2.16	COG2348	Lipid II:glycine glycyltransferase
fepC	1	1	1	1	1	1	1	1	1	AGBMBALL_00421	CDS	843		COG1120	Ferric enterobactin transport ATP-binding protein FepC
fepD	1	1	1	1	1	1	1	1	1	FOMIDEFL_00905	CDS	990		COG0609	Ferric enterobactin transport system permease protein FepD
fepG	1	1	1	1	1	1	1	1	1	LJFCBDKD_00753	CDS	1113		COG4779	Ferric enterobactin transport system permease protein FepG
fes	1	1	1	1	1	1	1	1	1	NGPGJBKC_01604	CDS	1296		COG2382	Enterochelin esterase
fetA	1	1	1	1	1	1	1	1	1	IGOCDMGC_01460	CDS	648	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
fetB	1	1	1	1	1	1	1	1	1	LKFOIOBI_00349	CDS	774		COG0390	putative iron export permease protein FetB
feuB	1	1	1	1	1	1	1	1	1	BGMKIKPO_01686	CDS	1002		COG0609	Iron-uptake system permease protein FeuB
feuC	1	1	1	1	1	1	1	1	1	LKFOIOBI_02359	CDS	1017		COG0609	Iron-uptake system permease protein FeuC
ffh	1	1	1	1	1	1	1	1	1	GGCDANDK_00488	CDS	1608		COG0541	Signal recognition particle protein
fgd	1	1	1	1	1	1	1	1	1	FOMIDEFL_03141	CDS	1167	1.1.98.2	COG2141	F420-dependent glucose-6-phosphate dehydrogenase
fhaB	1	1	1	1	1	1	1	1	1	ADMANBBD_00514	CDS	519		COG1716	FHA domain-containing protein FhaB
fhs	1	1	1	1	1	1	1	1	1	ADMANBBD_01935	CDS	1881	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
fhuB	1	1	1	1	1	1	1	1	1	FOMIDEFL_01905	CDS	2148		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
fhuC	1	1	1	1	1	1	1	1	1	AGDBFNGI_03176	CDS	873	3.6.3.34	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
fhuD	1	1	1	1	1	1	1	1	1	JOIMIODL_02048	CDS	1044		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
fic	1	1	1	1	1	1	1	1	1	AGDBFNGI_00956	CDS	1203	2.7.7.-	COG3177	Adenosine monophosphate-protein transferase SoFic
fieF	1	1	1	1	1	1	1	1	1	BGMKIKPO_01005	CDS	870		COG0053	Ferrous-iron efflux pump FieF
fkbP	1	1	1	1	1	1	1	1	1	GGCDANDK_01443	CDS	375	5.2.1.8		FK506-binding protein
fldA	1	1	1	1	1	1	1	1	1	EBMLHIBA_00998	CDS	453		COG0655	Flavodoxin
fliY	1	1	1	1	1	1	1	1	1	FOMIDEFL_01293	CDS	999		COG0834	L-cystine-binding protein FliY
flp	1	1	1	1	1	1	1	1	1	MCMEOHNO_00719	CDS	978			Protein flp
flr	1	1	1	1	1	1	1	1	1	HGOKLDLI_00847	CDS	612			Flavoredoxin
fmt	1	1	1	1	1	1	1	1	1	HAJKDPKL_03126	CDS	972	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
fni	1	1	1	1	1	1	1	1	1	IGOCDMGC_01351	CDS	1044	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
folA	1	1	1	1	1	1	1	1	1	IGOCDMGC_00655	CDS	486	1.5.1.3		Dihydrofolate reductase
folB	1	1	1	1	1	1	1	1	1	IGOCDMGC_00935	CDS	366	4.1.2.25	COG1539	Dihydroneopterin aldolase
folC	1	1	1	1	1	1	1	1	1	LDOPIMGM_01896	CDS	1389	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
folD	1	1	1	1	1	1	1	1	1	EBMLHIBA_00792	CDS	888		COG0190	Bifunctional protein FolD protein
folE	1	1	1	1	1	1	1	1	1	MCMEOHNO_00963	CDS	567	3.5.4.16	COG0302	GTP cyclohydrolase 1
folE2	1	1	1	1	1	1	1	1	1	IFGBOHMA_00987	CDS	879	3.5.4.16		GTP cyclohydrolase FolE2
folK	1	1	1	1	1	1	1	1	1	IGOCDMGC_00936	CDS	483	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
folP	1	1	1	1	1	1	1	1	1	IFGBOHMA_02210	CDS	804	2.5.1.15	COG0294	Dihydropteroate synthase
folP1	1	1	1	1	1	1	1	1	1	AGEJDLBK_00407	CDS	867	2.5.1.15	COG0294	Dihydropteroate synthase
folP2	1	1	1	1	1	1	1	1	1	GGCDANDK_02291	CDS	900		COG0294	Inactive dihydropteroate synthase 2
fpg1	1	1	1	1	1	1	1	1	1	JOIMIODL_00899	CDS	699	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase 1
fpg2	1	1	1	1	1	1	1	1	1	AGEJDLBK_03344	CDS	846		COG0266	putative formamidopyrimidine-DNA glycosylase-like protein
fpgS	1	1	1	1	1	1	1	1	1	BGMKIKPO_02614	CDS	1263	6.3.2.17		Folylpolyglutamate synthase
fprA	1	1	1	1	1	1	1	1	1	AGBMBALL_00506	CDS	1467	1.18.1.2	COG0493	NADPH-ferredoxin reductase FprA
fra	1	1	1	1	1	1	1	1	1	LKFOIOBI_01694	CDS	372		COG5646	Intracellular iron chaperone frataxin
frcA	1	1	1	1	1	1	1	1	1	ADMANBBD_01579	CDS	825	3.6.3.17	COG1129	Fructose import ATP-binding protein FrcA
frdA	1	1	1	1	1	1	1	1	1	IFGBOHMA_01526	CDS	1764	1.3.5.4		Fumarate reductase flavoprotein subunit
frdB	1	1	1	1	1	1	1	1	1	MOFHFCGN_00792	CDS	822	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
frr	1	1	1	1	1	1	1	1	1	LJFCBDKD_00886	CDS	567		COG0233	Ribosome-recycling factor
fruA	1	1	1	1	1	1	1	1	1	PIPEENFB_00524	CDS	1932		COG1299	PTS system fructose-specific EIIABC component
ftnA	1	1	1	1	1	1	1	1	1	ADMANBBD_03019	CDS	516	1.16.3.2	COG1528	Bacterial non-heme ferritin
ftpA	1	1	1	1	1	1	1	1	1	FOMIDEFL_03187	CDS	531		COG0783	Fine tangled pili major subunit
ftsA	1	1	1	1	1	1	1	1	1	IFGBOHMA_01503	CDS	1407			Cell division protein FtsA
ftsE	1	1	1	1	1	1	1	1	1	AGDBFNGI_02598	CDS	702		COG2884	Cell division ATP-binding protein FtsE
ftsH	1	1	1	1	1	1	1	1	1	AGDBFNGI_03108	CDS	2175	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
ftsK	1	1	1	1	1	1	1	1	1	AGDBFNGI_01627	CDS	2778		COG1674	DNA translocase FtsK
ftsL	1	1	1	1	1	1	1	1	1	MCCDGJGB_03597	CDS	492			Cell division protein FtsL
ftsQ	1	1	1	1	1	1	1	1	1	DNNBHHGK_00858	CDS	645		COG1589	Cell division protein FtsQ
ftsW	1	1	1	1	1	1	1	1	1	DNNBHHGK_00855	CDS	1449	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
ftsX	1	1	1	1	1	1	1	1	1	IOFEINNK_00546	CDS	915		COG2177	Cell division protein FtsX
ftsY	1	1	1	1	1	1	1	1	1	IOFEINNK_00732	CDS	1143		COG0552	Signal recognition particle receptor FtsY
ftsZ	1	1	1	1	1	1	1	1	1	AGDBFNGI_01209	CDS	1215		COG0206	Cell division protein FtsZ
fucU	1	1	1	1	1	1	1	1	1	MCMEOHNO_02269	CDS	423	5.1.3.29	COG4154	L-fucose mutarotase
fumC	1	1	1	1	1	1	1	1	1	LKFOIOBI_00823	CDS	1386	4.2.1.2		Fumarate hydratase class II
fur	1	1	1	1	1	1	1	1	1	IGOCDMGC_00712	CDS	447		COG0735	Ferric uptake regulation protein
furA	1	1	1	1	1	1	1	1	1	IHGJPHMH_01372	CDS	489		COG0735	Transcriptional regulator FurA
fusA	1	1	1	1	1	1	1	1	1	AGEJDLBK_02217	CDS	2106		COG0480	Elongation factor G
gabD	1	1	1	1	1	1	1	1	1	AGBMBALL_00674	CDS	1488	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
gabD1	1	1	1	1	1	1	1	1	1	IOFEINNK_00245	CDS	1374	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
gabD2	1	1	1	1	1	1	1	1	1	MCCDGJGB_01357	CDS	1590	1.2.1.79	COG1012	Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2
gabP	1	1	1	1	1	1	1	1	1	GGCDANDK_00963	CDS	1290		COG1113	GABA permease
gabR	1	1	1	1	1	1	1	1	1	EPECHOLL_02450	CDS	1386		COG1167	HTH-type transcriptional regulatory protein GabR
gabT	1	1	1	1	1	1	1	1	1	LDOPIMGM_00588	CDS	1365	2.6.1.19	COG0160	4-aminobutyrate aminotransferase
galE	1	1	1	1	1	1	1	1	1	IGOCDMGC_02061	CDS	1002	5.1.3.2	COG1087	UDP-glucose 4-epimerase
galK	1	1	1	1	1	1	1	1	1	DNNBHHGK_01239	CDS	1050	2.7.1.6		Galactokinase
galT	1	1	1	1	1	1	1	1	1	PIPEENFB_01364	CDS	1491	2.7.7.12		Galactose-1-phosphate uridylyltransferase
gap2	1	1	1	1	1	1	1	1	1	ADMANBBD_01750	CDS	996	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
gapA	1	1	1	1	1	1	1	1	1	HAJKDPKL_00698	CDS	1005	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
gapA1	1	1	1	1	1	1	1	1	1	MOFHFCGN_00292	CDS	1008	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase 1
gapA2	1	1	1	1	1	1	1	1	1	MOFHFCGN_01314	CDS	1026	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase 2
garA	1	1	1	1	1	1	1	1	1	DPNJBGPE_03188	CDS	723		COG1716	Glycogen accumulation regulator GarA
garK	1	1	1	1	1	1	1	1	1	HGOKLDLI_02397	CDS	1131	2.7.1.165	COG1929	Glycerate 2-kinase
garR	1	1	1	1	1	1	1	1	1	EPECHOLL_02107	CDS	876	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
gatA	1	1	1	1	1	1	1	1	1	IGOCDMGC_00015	CDS	468		COG1762	PTS system galactitol-specific EIIA component
gatB	1	1	1	1	1	1	1	1	1	IHGJPHMH_02350	CDS	1482	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
gatC	1	1	1	1	1	1	1	1	1	MOFHFCGN_02496	CDS	1260		COG3775	PTS system galactitol-specific EIIC component
gatD	1	1	1	1	1	1	1	1	1	IFGBOHMA_02632	CDS	1038	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
gbh	1	1	1	1	1	1	1	1	1	AGDBFNGI_02606	CDS	1011	3.5.3.7		Guanidinobutyrase
gbsA	1	1	1	1	1	1	1	1	1	MCCDGJGB_03296	CDS	1479	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
gbuA	1	1	1	1	1	1	1	1	1	DPNJBGPE_00233	CDS	1287	3.6.3.32		Glycine betaine/carnitine transport ATP-binding protein GbuA
gbuC	1	1	1	1	1	1	1	1	1	MCMEOHNO_01760	CDS	933			Glycine betaine/carnitine transport binding protein GbuC
gci	1	1	1	1	1	1	1	1	1	MCMEOHNO_02262	CDS	1107	5.5.1.27	COG4948	D-galactarolactone cycloisomerase
gcl	1	1	1	1	1	1	1	1	1	GGCDANDK_00136	CDS	1797	4.1.1.47	COG3960	Glyoxylate carboligase
gcvH	1	1	1	1	1	1	1	1	1	EBMLHIBA_02350	CDS	405		COG0509	Glycine cleavage system H protein
gcvP	1	1	1	1	1	1	1	1	1	JOIMIODL_01228	CDS	2997	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating)
gcvPA	1	1	1	1	1	1	1	1	1	BGMKIKPO_01386	CDS	1353	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
gcvPB	1	1	1	1	1	1	1	1	1	IGOCDMGC_00748	CDS	1479	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
gcvT	1	1	1	1	1	1	1	1	1	JOIMIODL_01230	CDS	1146	2.1.2.10	COG0404	Aminomethyltransferase
gdh	1	1	1	1	1	1	1	1	1	IHGJPHMH_02991	CDS	4890	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
gdhI	1	1	1	1	1	1	1	1	1	MOFHFCGN_00389	CDS	792	1.1.1.47	COG1028	Glucose 1-dehydrogenase 1
gdpP	1	1	1	1	1	1	1	1	1	HGOKLDLI_01792	CDS	1968	3.1.4.-	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
genK	1	1	1	1	1	1	1	1	1	AGEJDLBK_03073	CDS	1239		COG0477	Gentisate transporter
gerN	1	1	1	1	1	1	1	1	1	LKFOIOBI_02055	CDS	1845		COG0475	Na(+)/H(+)-K(+) antiporter GerN
gfo	1	1	1	1	1	1	1	1	1	FOMIDEFL_01241	CDS	1041	1.1.99.28		Glucose--fructose oxidoreductase
ghrA	1	1	1	1	1	1	1	1	1	MCMEOHNO_02150	CDS	942	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
ghrB	1	1	1	1	1	1	1	1	1	AGEJDLBK_00761	CDS	966	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
glbO	1	1	1	1	1	1	1	1	1	DNNBHHGK_00924	CDS	441		COG2346	Group 2 truncated hemoglobin GlbO
glcC	1	1	1	1	1	1	1	1	1	AGEJDLBK_01649	CDS	807		COG2186	Glc operon transcriptional activator
glcK	1	1	1	1	1	1	1	1	1	FOMIDEFL_01107	CDS	951	2.7.1.2	COG1940	Glucokinase
glcR	1	1	1	1	1	1	1	1	1	LJFCBDKD_01633	CDS	807		COG1349	HTH-type transcriptional repressor GlcR
glcT	1	1	1	1	1	1	1	1	1	LKFOIOBI_01492	CDS	855		COG3711	GlcA/glcB genes antiterminator
glcU	1	1	1	1	1	1	1	1	1	FAGDNHIP_01321	CDS	882		COG4975	putative glucose uptake protein GlcU
glf	1	1	1	1	1	1	1	1	1	MCMEOHNO_02396	CDS	1158	5.4.99.9	COG0562	UDP-galactopyranose mutase
glfT1	1	1	1	1	1	1	1	1	1	FOMIDEFL_02764	CDS	1008	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
glfT2	1	1	1	1	1	1	1	1	1	FOMIDEFL_02761	CDS	2124	2.4.1.288	COG1216	Galactofuranosyltransferase GlfT2
glgB	1	1	1	1	1	1	1	1	1	DNNBHHGK_02791	CDS	2205	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
glgC	1	1	1	1	1	1	1	1	1	AGBMBALL_02535	CDS	1242	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
glgE2	1	1	1	1	1	1	1	1	1	JOIMIODL_00827	CDS	2103	2.4.99.16	COG0366	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 2
glgM	1	1	1	1	1	1	1	1	1	HAJKDPKL_03152	CDS	1194	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
glgX	1	1	1	1	1	1	1	1	1	MCMEOHNO_02600	CDS	2160	3.2.1.-	COG1523	Glycogen operon protein GlgX 
glkA	1	1	1	1	1	1	1	1	1	MCMEOHNO_01129	CDS	1095	2.7.1.2		Glucokinase
glmM	1	1	1	1	1	1	1	1	1	AGEJDLBK_02295	CDS	1353	5.4.2.10	COG1109	Phosphoglucosamine mutase
glmS	1	1	1	1	1	1	1	1	1	LJFCBDKD_03419	CDS	1878	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
glmU	1	1	1	1	1	1	1	1	1	EPECHOLL_02390	CDS	1356			Bifunctional protein GlmU
glnA	1	1	1	1	1	1	1	1	1	FOMIDEFL_01533	CDS	1431	6.3.1.2	COG0174	Glutamine synthetase
glnB	1	1	1	1	1	1	1	1	1	LJFCBDKD_00908	CDS	339		COG0347	Nitrogen regulatory protein P-II
glnD	1	1	1	1	1	1	1	1	1	AGBMBALL_01698	CDS	2346		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
glnE	1	1	1	1	1	1	1	1	1	AGDBFNGI_03706	CDS	3042		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
glnH	1	1	1	1	1	1	1	1	1	JOIMIODL_02644	CDS	900		COG0834	Glutamine-binding periplasmic protein
glnM	1	1	1	1	1	1	1	1	1	GGCDANDK_00194	CDS	792		COG0765	putative glutamine ABC transporter permease protein GlnM
glnP	1	1	1	1	1	1	1	1	1	HAJKDPKL_01007	CDS	651		COG0765	Glutamine transport system permease protein GlnP
glnQ	1	1	1	1	1	1	1	1	1	AGDBFNGI_02133	CDS	714	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
glnR	1	1	1	1	1	1	1	1	1	FAGDNHIP_02163	CDS	369		COG0789	HTH-type transcriptional regulator GlnR
gloA	1	1	1	1	1	1	1	1	1	NGPGJBKC_02640	CDS	372	4.4.1.5	COG0346	Lactoylglutathione lyase
gloB	1	1	1	1	1	1	1	1	1	AGEJDLBK_01671	CDS	1083	3.1.2.6		Hydroxyacylglutathione hydrolase
gloC	1	1	1	1	1	1	1	1	1	IOFEINNK_03346	CDS	1386	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
glpB	1	1	1	1	1	1	1	1	1	HAJKDPKL_00074	CDS	2229	1.1.5.3		Anaerobic glycerol-3-phosphate dehydrogenase subunit B
glpD	1	1	1	1	1	1	1	1	1	BGMKIKPO_01126	CDS	1674	1.1.5.3		Aerobic glycerol-3-phosphate dehydrogenase
glpD2	1	1	1	1	1	1	1	1	1	AGBMBALL_01075	CDS	1845	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
glpE	1	1	1	1	1	1	1	1	1	DPNJBGPE_00761	CDS	444	2.8.1.1		Thiosulfate sulfurtransferase GlpE
glpF	1	1	1	1	1	1	1	1	1	BGMKIKPO_01124	CDS	819		COG0580	Glycerol uptake facilitator protein
glpK	1	1	1	1	1	1	1	1	1	LDOPIMGM_01255	CDS	1533	2.7.1.30	COG0554	Glycerol kinase
glpP	1	1	1	1	1	1	1	1	1	PIPEENFB_01909	CDS	534		COG1954	Glycerol uptake operon antiterminator regulatory protein
glpQ	1	1	1	1	1	1	1	1	1	GGCDANDK_03148	CDS	843	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
glpQ1	1	1	1	1	1	1	1	1	1	EPECHOLL_01608	CDS	921	3.1.4.46	COG0584	putative glycerophosphodiester phosphodiesterase 1
glpR	1	1	1	1	1	1	1	1	1	DNNBHHGK_02396	CDS	867		COG1349	Glycerol-3-phosphate regulon repressor
glpT	1	1	1	1	1	1	1	1	1	FOMIDEFL_01407	CDS	1425		COG2271	Glycerol-3-phosphate transporter
glpX	1	1	1	1	1	1	1	1	1	EBMLHIBA_01215	CDS	1071	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
glsA1	1	1	1	1	1	1	1	1	1	HAJKDPKL_02650	CDS	1272	3.5.1.2	COG2066	Glutaminase 1
gltA	1	1	1	1	1	1	1	1	1	NGPGJBKC_01492	CDS	1158	2.3.3.5		2-methylcitrate synthase
gltA2	1	1	1	1	1	1	1	1	1	ADMANBBD_02270	CDS	1284	2.3.3.16	COG0372	Citrate synthase 1
gltB	1	1	1	1	1	1	1	1	1	PIPEENFB_02626	CDS	1464	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
gltC	1	1	1	1	1	1	1	1	1	HAJKDPKL_01700	CDS	936			HTH-type transcriptional regulator GltC
gltD	1	1	1	1	1	1	1	1	1	FOMIDEFL_00199	CDS	1479	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
gltK	1	1	1	1	1	1	1	1	1	EBMLHIBA_00106	CDS	738		COG0765	Glutamate/aspartate import permease protein GltK
gltP	1	1	1	1	1	1	1	1	1	GGCDANDK_01069	CDS	1347		COG1301	Proton/glutamate-aspartate symporter
gltR	1	1	1	1	1	1	1	1	1	GGCDANDK_00679	CDS	927		COG0583	HTH-type transcriptional regulator GltR
gltT	1	1	1	1	1	1	1	1	1	MCCDGJGB_00291	CDS	1413			Proton/sodium-glutamate symport protein
gltX	1	1	1	1	1	1	1	1	1	BGMKIKPO_02124	CDS	1458	6.1.1.17		Glutamate--tRNA ligase
gltX1	1	1	1	1	1	1	1	1	1	FOMIDEFL_01267	CDS	939	6.1.1.17		Glutamate--tRNA ligase 1
gluD	1	1	1	1	1	1	1	1	1	EPECHOLL_00710	CDS	1245	1.4.1.2		NAD-specific glutamate dehydrogenase
gluP	1	1	1	1	1	1	1	1	1	IGOCDMGC_00762	CDS	1458	3.4.21.105	COG0705	Rhomboid protease GluP
glvR	1	1	1	1	1	1	1	1	1	BGMKIKPO_02987	CDS	759		COG1737	HTH-type transcriptional regulator GlvR
glxK	1	1	1	1	1	1	1	1	1	ADMANBBD_01260	CDS	1182	2.7.1.31	COG1929	Glycerate 3-kinase
glxR	1	1	1	1	1	1	1	1	1	GGCDANDK_00137	CDS	882	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
glyA	1	1	1	1	1	1	1	1	1	PIPEENFB_02799	CDS	1239	2.1.2.1	COG0112	Serine hydroxymethyltransferase
glyA1	1	1	1	1	1	1	1	1	1	DNNBHHGK_00035	CDS	1269	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
glyQS	1	1	1	1	1	1	1	1	1	MOFHFCGN_01202	CDS	1392	6.1.1.14		Glycine--tRNA ligase
gmk	1	1	1	1	1	1	1	1	1	FAGDNHIP_02572	CDS	624	2.7.4.8		Guanylate kinase
gnd	1	1	1	1	1	1	1	1	1	HGOKLDLI_01281	CDS	1410	1.1.1.44		6-phosphogluconate dehydrogenase, decarboxylating
gndA	1	1	1	1	1	1	1	1	1	AGEJDLBK_01971	CDS	1536	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
gnl	1	1	1	1	1	1	1	1	1	MCMEOHNO_00445	CDS	960	3.1.1.17		Gluconolactonase
gntK	1	1	1	1	1	1	1	1	1	LDOPIMGM_01718	CDS	498	2.7.1.12	COG3265	Thermoresistant gluconokinase
gntP	1	1	1	1	1	1	1	1	1	MOFHFCGN_02357	CDS	1338		COG2610	High-affinity gluconate transporter
gntR	1	1	1	1	1	1	1	1	1	LDOPIMGM_00675	CDS	756			putative D-xylose utilization operon transcriptional repressor
gntT	1	1	1	1	1	1	1	1	1	BGMKIKPO_00604	CDS	1359		COG2610	High-affinity gluconate transporter
golD	1	1	1	1	1	1	1	1	1	LJFCBDKD_01719	CDS	744	1.1.1.6		NAD-dependent glycerol dehydrogenase
gpgP	1	1	1	1	1	1	1	1	1	LDOPIMGM_01913	CDS	597	3.1.3.85	COG0406	Glucosyl-3-phosphoglycerate phosphatase
gpgS	1	1	1	1	1	1	1	1	1	AGDBFNGI_01890	CDS	810	2.4.1.266		Glucosyl-3-phosphoglycerate synthase
gph	1	1	1	1	1	1	1	1	1	IGOCDMGC_00287	CDS	1122	3.1.3.18		Phosphoglycolate phosphatase
gpmA	1	1	1	1	1	1	1	1	1	MCMEOHNO_02698	CDS	723	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
gpmI	1	1	1	1	1	1	1	1	1	LKFOIOBI_02230	CDS	1518	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
gpr	1	1	1	1	1	1	1	1	1	AGDBFNGI_02993	CDS	1041	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
