"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SEQ_341_10","SEQ_738_7","SEQ_862_5","SEQ_876_5","SEQ_900_4","SEQ_908_10","SEQ_947_12","SEQ_962_6","SEQ_BC9"
"rnr","","Ribonuclease R","9","9","1","14","3724","","","","2378","2378","2378","FAGDNHIP_01729","BGMKIKPO_03113","HGOKLDLI_00295","IGOCDMGC_00237","LKFOIOBI_02225","MOFHFCGN_00300","IFGBOHMA_01270","PIPEENFB_00374","EPECHOLL_00599"
"mrpE","","Na(+)/H(+) antiporter subunit E","9","9","1","14","3985","","","","482","482","482","FAGDNHIP_01884","BGMKIKPO_01666","HGOKLDLI_00076","IGOCDMGC_01149","LKFOIOBI_02380","MOFHFCGN_00075","IFGBOHMA_01048","PIPEENFB_00597","EPECHOLL_01948"
"rex","","Redox-sensing transcriptional repressor Rex","9","9","1","14","2375","","","","641","647","645","FAGDNHIP_00793","BGMKIKPO_00878","HGOKLDLI_02646","IGOCDMGC_02363","LKFOIOBI_01863","MOFHFCGN_02237","IFGBOHMA_01940","PIPEENFB_00687","EPECHOLL_02782"
"group_466","","hypothetical protein","9","9","1","14","545","","","","1058","1058","1058","FAGDNHIP_00130","BGMKIKPO_00617","HGOKLDLI_00667","IGOCDMGC_01504","LKFOIOBI_00304","MOFHFCGN_01990","IFGBOHMA_00223","PIPEENFB_01595","EPECHOLL_00238"
"gluD_1","","NAD-specific glutamate dehydrogenase","9","9","1","14","3547","","","","1244","1244","1244","FAGDNHIP_01544","BGMKIKPO_00528","HGOKLDLI_00406","IGOCDMGC_00126","LKFOIOBI_02100","MOFHFCGN_01833","IFGBOHMA_01381","PIPEENFB_00263","EPECHOLL_00710"
"dck","","Deoxyadenosine/deoxycytidine kinase","9","9","1","14","1946","","","","662","662","662","FAGDNHIP_01953","BGMKIKPO_01598","HGOKLDLI_00007","IGOCDMGC_02151","LKFOIOBI_02449","MOFHFCGN_00007","IFGBOHMA_00980","PIPEENFB_00665","EPECHOLL_02823"
"group_4662","","hypothetical protein","9","9","1","14","3634","","","","230","230","230","FAGDNHIP_01691","BGMKIKPO_02337","HGOKLDLI_00334","IGOCDMGC_00198","LKFOIOBI_02173","MOFHFCGN_01757","IFGBOHMA_01309","PIPEENFB_00335","EPECHOLL_00638"
"group_4663","","hypothetical protein","9","9","1","14","3587","","","","824","824","824","FAGDNHIP_01580","BGMKIKPO_02671","HGOKLDLI_00371","IGOCDMGC_00161","LKFOIOBI_02136","MOFHFCGN_01797","IFGBOHMA_01346","PIPEENFB_00298","EPECHOLL_00675"
"katA_2","","Catalase","9","9","1","14","1524","","","","1481","1481","1481","FAGDNHIP_00717","BGMKIKPO_00338","HGOKLDLI_01728","IGOCDMGC_01959","LKFOIOBI_02618","MOFHFCGN_02724","IFGBOHMA_02039","PIPEENFB_02505","EPECHOLL_01824"
"metC","","Cystathionine beta-lyase MetC","9","9","1","14","1550","","","","1175","1175","1175","FAGDNHIP_00743","BGMKIKPO_00314","HGOKLDLI_01704","IGOCDMGC_01983","LKFOIOBI_00647","MOFHFCGN_02748","IFGBOHMA_02183","PIPEENFB_02481","EPECHOLL_01849"
"leuA","","2-isopropylmalate synthase","9","9","1","14","2363","","","","1535","1535","1535","FAGDNHIP_00805","BGMKIKPO_00890","HGOKLDLI_02634","IGOCDMGC_02375","LKFOIOBI_01851","MOFHFCGN_02249","IFGBOHMA_01928","PIPEENFB_00675","EPECHOLL_02795"
"luxS","","S-ribosylhomocysteine lyase","9","9","1","15","86","","","","470","470","470","FAGDNHIP_02344","BGMKIKPO_02155","HGOKLDLI_02861","IGOCDMGC_02627","LKFOIOBI_02685","MOFHFCGN_02660","IFGBOHMA_02765","PIPEENFB_02690","EPECHOLL_01709"
"ytmI","","putative N-acetyltransferase YtmI","9","9","1","14","432","","","","536","536","536","FAGDNHIP_00227","BGMKIKPO_02502","HGOKLDLI_00763","IGOCDMGC_01414","LKFOIOBI_00401","MOFHFCGN_00547","IFGBOHMA_00321","PIPEENFB_01499","EPECHOLL_00319"
"menD","","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","9","9","1","14","3467","","","","1682","1682","1682","FAGDNHIP_01668","BGMKIKPO_00062","HGOKLDLI_00482","IGOCDMGC_01748","LKFOIOBI_02026","MOFHFCGN_01909","IFGBOHMA_01457","PIPEENFB_00187","EPECHOLL_02576"
"nhaP","","K(+)/H(+) antiporter NhaP","9","9","1","14","544","","","","1799","1799","1799","FAGDNHIP_00131","BGMKIKPO_00616","HGOKLDLI_00668","IGOCDMGC_01503","LKFOIOBI_00305","MOFHFCGN_01989","IFGBOHMA_00224","PIPEENFB_01594","EPECHOLL_00237"
"group_4670","","hypothetical protein","9","9","1","14","3017","","","","218","218","218","FAGDNHIP_01004","BGMKIKPO_01951","HGOKLDLI_01303","IGOCDMGC_00745","LKFOIOBI_01110","MOFHFCGN_01169","IFGBOHMA_00853","PIPEENFB_02166","EPECHOLL_01062"
"group_4671","","hypothetical protein","9","9","1","14","2342","","","","578","578","578","FAGDNHIP_02520","BGMKIKPO_01581","HGOKLDLI_02695","IGOCDMGC_01886","LKFOIOBI_01909","MOFHFCGN_02174","IFGBOHMA_01982","PIPEENFB_01837","EPECHOLL_02340"
"ydjZ","","TVP38/TMEM64 family inner membrane protein YdjZ","9","9","1","14","3539","","","","575","575","575","FAGDNHIP_01536","BGMKIKPO_00536","HGOKLDLI_00414","IGOCDMGC_00118","LKFOIOBI_02094","MOFHFCGN_01841","IFGBOHMA_01389","PIPEENFB_00255","EPECHOLL_00718"
"ppk","","Polyphosphate kinase","9","9","1","14","506","","","","2159","2165","2164","FAGDNHIP_00168","BGMKIKPO_00968","HGOKLDLI_00704","IGOCDMGC_01467","LKFOIOBI_00341","MOFHFCGN_00607","IFGBOHMA_00261","PIPEENFB_01558","EPECHOLL_00200"
"fabD","","Malonyl CoA-acyl carrier protein transacylase","9","9","1","14","2520","","","","926","926","926","FAGDNHIP_02071","BGMKIKPO_00897","HGOKLDLI_01000","IGOCDMGC_02173","LKFOIOBI_01359","MOFHFCGN_00863","IFGBOHMA_00549","PIPEENFB_00016","EPECHOLL_01445"
"group_4675","yfkN_2","Trifunctional nucleotide phosphoesterase protein YfkN","9","9","1","14","3482","","","","1508","1508","1508","FAGDNHIP_01484","BGMKIKPO_00588","HGOKLDLI_00466","IGOCDMGC_00066","LKFOIOBI_02041","MOFHFCGN_01893","IFGBOHMA_01441","PIPEENFB_00203","EPECHOLL_02551"
"glcK","","Glucokinase","9","9","1","14","3039","","","","986","986","986","FAGDNHIP_01020","BGMKIKPO_01375","HGOKLDLI_01318","IGOCDMGC_00760","LKFOIOBI_01094","MOFHFCGN_01184","IFGBOHMA_00868","PIPEENFB_02151","EPECHOLL_01047"
"ribH","","6,7-dimethyl-8-ribityllumazine synthase","9","9","1","14","3262","","","","458","458","458","FAGDNHIP_01231","BGMKIKPO_02955","HGOKLDLI_01527","IGOCDMGC_00326","LKFOIOBI_00884","MOFHFCGN_01393","IFGBOHMA_01759","PIPEENFB_01040","EPECHOLL_00165"
"group_4678","","hypothetical protein","9","9","1","14","2458","","","","215","218","217","FAGDNHIP_02132","BGMKIKPO_01106","HGOKLDLI_01060","IGOCDMGC_02233","LKFOIOBI_01419","MOFHFCGN_00923","IFGBOHMA_00609","PIPEENFB_01893","EPECHOLL_01384"
"proS","","Proline--tRNA ligase","9","9","1","14","2484","","","","1700","1700","1700","FAGDNHIP_02106","BGMKIKPO_00931","HGOKLDLI_01034","IGOCDMGC_02207","LKFOIOBI_01393","MOFHFCGN_00897","IFGBOHMA_00583","PIPEENFB_01867","EPECHOLL_01411"
"ycnE","","Putative monooxygenase YcnE","9","9","1","14","541","","","","284","284","284","FAGDNHIP_00134","BGMKIKPO_00613","HGOKLDLI_00671","IGOCDMGC_01500","LKFOIOBI_00308","MOFHFCGN_01986","IFGBOHMA_00227","PIPEENFB_01591","EPECHOLL_00234"
"group_4680","","Fluoroquinolones export ATP-binding protein","9","9","1","14","1439","","","","848","848","848","FAGDNHIP_01420","BGMKIKPO_01207","HGOKLDLI_02048","IGOCDMGC_02108","LKFOIOBI_01647","MOFHFCGN_01663","IFGBOHMA_02106","PIPEENFB_02573","EPECHOLL_02637"
"hemA","","Glutamyl-tRNA reductase","9","9","1","14","3163","","","","1331","1331","1331","FAGDNHIP_01138","BGMKIKPO_02605","HGOKLDLI_01434","IGOCDMGC_00876","LKFOIOBI_00977","MOFHFCGN_01300","IFGBOHMA_01852","PIPEENFB_00947","EPECHOLL_00929"
"bioY","","Biotin transporter BioY","9","9","1","14","283","","","","548","548","548","FAGDNHIP_00355","BGMKIKPO_02295","HGOKLDLI_00893","IGOCDMGC_02056","LKFOIOBI_00530","MOFHFCGN_00419","IFGBOHMA_02365","PIPEENFB_01370","EPECHOLL_00446"
"group_4683","","hypothetical protein","9","9","1","14","2299","","","","542","542","542","FAGDNHIP_02479","BGMKIKPO_01540","HGOKLDLI_02736","IGOCDMGC_01927","LKFOIOBI_01950","MOFHFCGN_02133","IFGBOHMA_02023","PIPEENFB_01796","EPECHOLL_02299"
"group_4684","","hypothetical protein","9","9","1","14","894","","","","218","218","218","FAGDNHIP_01317","BGMKIKPO_00789","HGOKLDLI_02479","IGOCDMGC_02325","LKFOIOBI_00006","MOFHFCGN_02481","IFGBOHMA_00382","PIPEENFB_02397","EPECHOLL_02059"
"graR","","Response regulator protein GraR","9","9","1","14","3954","","","","674","674","674","FAGDNHIP_01854","BGMKIKPO_01696","HGOKLDLI_00106","IGOCDMGC_01119","LKFOIOBI_02350","MOFHFCGN_00105","IFGBOHMA_01078","PIPEENFB_00567","EPECHOLL_01978"
"kdgA","","KHG/KDPG aldolase","9","9","1","14","1893","","","","617","617","617","FAGDNHIP_02631","BGMKIKPO_02629","HGOKLDLI_02584","IGOCDMGC_00569","LKFOIOBI_02758","MOFHFCGN_01943","IFGBOHMA_00049","PIPEENFB_01990","EPECHOLL_02527"
"prkC","","Serine/threonine-protein kinase PrkC","9","9","1","14","2535","","","","2048","2048","2048","FAGDNHIP_02583","BGMKIKPO_03027","HGOKLDLI_00639","IGOCDMGC_02380","LKFOIOBI_01345","MOFHFCGN_00850","IFGBOHMA_01467","PIPEENFB_00030","EPECHOLL_01458"
"group_4688","","hypothetical protein","9","9","1","14","3833","","","","845","845","845","FAGDNHIP_01745","BGMKIKPO_01806","HGOKLDLI_00216","IGOCDMGC_01009","LKFOIOBI_02241","MOFHFCGN_00214","IFGBOHMA_01188","PIPEENFB_00457","EPECHOLL_00584"
"fapR","","Transcription factor FapR","9","9","1","14","2522","","","","569","569","569","FAGDNHIP_02069","BGMKIKPO_00895","HGOKLDLI_00998","IGOCDMGC_02171","LKFOIOBI_01357","MOFHFCGN_00861","IFGBOHMA_00547","PIPEENFB_00018","EPECHOLL_01447"
"aldC_1","","Alpha-acetolactate decarboxylase","9","9","1","14","540","","","","698","698","698","FAGDNHIP_00135","BGMKIKPO_00612","HGOKLDLI_00672","IGOCDMGC_01499","LKFOIOBI_00309","MOFHFCGN_01985","IFGBOHMA_00228","PIPEENFB_01590","EPECHOLL_00233"
"argS","","Arginine--tRNA ligase","9","9","1","14","4007","","","","1667","1667","1667","FAGDNHIP_01905","BGMKIKPO_01645","HGOKLDLI_00055","IGOCDMGC_01170","LKFOIOBI_02401","MOFHFCGN_00054","IFGBOHMA_01027","PIPEENFB_00618","EPECHOLL_01927"
"sgbE","","L-ribulose-5-phosphate 4-epimerase SgbE","9","9","1","14","886","","","","695","695","695","FAGDNHIP_01325","BGMKIKPO_00781","HGOKLDLI_02471","IGOCDMGC_02317","LKFOIOBI_00014","MOFHFCGN_02473","IFGBOHMA_00390","PIPEENFB_02389","EPECHOLL_02067"
"mvaS","","Hydroxymethylglutaryl-CoA synthase","9","9","1","14","610","","","","1169","1169","1169","FAGDNHIP_00077","BGMKIKPO_00673","HGOKLDLI_02205","IGOCDMGC_01558","LKFOIOBI_00250","MOFHFCGN_02046","IFGBOHMA_00165","PIPEENFB_01651","EPECHOLL_02585"
"mnhD1","","Na(+)/H(+) antiporter subunit D1","9","9","1","14","3558","","","","1496","1496","1496","FAGDNHIP_01553","BGMKIKPO_00519","HGOKLDLI_00397","IGOCDMGC_00135","LKFOIOBI_02110","MOFHFCGN_01824","IFGBOHMA_01372","PIPEENFB_00272","EPECHOLL_00701"
"fdhD","","Sulfur carrier protein FdhD","9","9","1","14","281","","","","824","824","824","FAGDNHIP_00357","BGMKIKPO_02293","HGOKLDLI_00895","IGOCDMGC_02058","LKFOIOBI_00532","MOFHFCGN_00417","IFGBOHMA_02367","PIPEENFB_01368","EPECHOLL_00448"
"ykoE","","Putative HMP/thiamine permease protein YkoE","9","9","1","14","3426","","","","575","575","575","FAGDNHIP_02031","BGMKIKPO_02394","HGOKLDLI_00518","IGOCDMGC_01710","LKFOIOBI_01992","MOFHFCGN_00729","IFGBOHMA_01588","PIPEENFB_00151","EPECHOLL_01651"
"nnrD","","ADP-dependent (S)-NAD(P)H-hydrate dehydratase","9","9","1","14","4457","","","","812","812","812","FAGDNHIP_02264","BGMKIKPO_02551","HGOKLDLI_01785","IGOCDMGC_01827","LKFOIOBI_00722","MOFHFCGN_00660","IFGBOHMA_02579","PIPEENFB_01210","EPECHOLL_02238"
"yidD","","Putative membrane protein insertion efficiency factor","9","9","1","14","3287","","","","236","236","236","FAGDNHIP_01253","BGMKIKPO_03015","HGOKLDLI_01549","IGOCDMGC_00348","LKFOIOBI_00862","MOFHFCGN_01415","IFGBOHMA_01737","PIPEENFB_01062","EPECHOLL_00143"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","9","9","1","14","2462","","","","578","578","578","FAGDNHIP_02128","BGMKIKPO_01102","HGOKLDLI_01056","IGOCDMGC_02229","LKFOIOBI_01415","MOFHFCGN_00919","IFGBOHMA_00605","PIPEENFB_01889","EPECHOLL_01389"
"fumC","","Fumarate hydratase class II","9","9","1","14","2020","","","","1385","1385","1385","FAGDNHIP_00488","BGMKIKPO_00072","HGOKLDLI_01656","IGOCDMGC_00456","LKFOIOBI_00823","MOFHFCGN_01519","IFGBOHMA_01627","PIPEENFB_02432","EPECHOLL_00018"
"group_470","","hypothetical protein","9","9","1","14","538","","","","1229","1229","1229","FAGDNHIP_00137","BGMKIKPO_00610","HGOKLDLI_00674","IGOCDMGC_01497","LKFOIOBI_00311","MOFHFCGN_01983","IFGBOHMA_00231","PIPEENFB_01588","EPECHOLL_00231"
"parC","","DNA topoisomerase 4 subunit A","9","9","1","14","2831","","","","2402","2402","2402","FAGDNHIP_00608","BGMKIKPO_01176","HGOKLDLI_01130","IGOCDMGC_01287","LKFOIOBI_01490","MOFHFCGN_00994","IFGBOHMA_00679","PIPEENFB_02340","EPECHOLL_01243"
"aldA","","Lactaldehyde dehydrogenase","9","9","1","14","550","","","","1424","1424","1424","FAGDNHIP_00125","BGMKIKPO_00622","HGOKLDLI_00662","IGOCDMGC_01509","LKFOIOBI_00299","MOFHFCGN_01995","IFGBOHMA_00218","PIPEENFB_01600","EPECHOLL_00243"
"topA","","DNA topoisomerase 1","9","9","1","14","2497","","","","2069","2069","2069","FAGDNHIP_02093","BGMKIKPO_00918","HGOKLDLI_01021","IGOCDMGC_02194","LKFOIOBI_01380","MOFHFCGN_00884","IFGBOHMA_00570","PIPEENFB_01854","EPECHOLL_01424"
"group_4703","","hypothetical protein","9","9","1","14","2996","","","","437","437","437","FAGDNHIP_00985","BGMKIKPO_01932","HGOKLDLI_01284","IGOCDMGC_00726","LKFOIOBI_01129","MOFHFCGN_01150","IFGBOHMA_00834","PIPEENFB_02185","EPECHOLL_01081"
"mgl_2","","hypothetical protein","9","9","1","14","2791","","","","1238","1238","1238","FAGDNHIP_02162","BGMKIKPO_01136","HGOKLDLI_01090","IGOCDMGC_02263","LKFOIOBI_01450","MOFHFCGN_00954","IFGBOHMA_00639","PIPEENFB_01923","EPECHOLL_01359"
"fadH","","putative 2,4-dienoyl-CoA reductase","9","9","1","14","919","","","","764","764","764","FAGDNHIP_02403","BGMKIKPO_01987","HGOKLDLI_01959","IGOCDMGC_00022","LKFOIOBI_01547","MOFHFCGN_02512","IFGBOHMA_02634","PIPEENFB_00855","EPECHOLL_02743"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","9","9","1","16","26","","","","2087","2087","2087","FAGDNHIP_00677","BGMKIKPO_02014","HGOKLDLI_02505","IGOCDMGC_00931","LKFOIOBI_02486","MOFHFCGN_02842","IFGBOHMA_02213","PIPEENFB_02665","EPECHOLL_02378"
"group_4707","","hypothetical protein","9","9","1","14","4028","","","","452","452","452","FAGDNHIP_01926","BGMKIKPO_01624","HGOKLDLI_00033","IGOCDMGC_01191","LKFOIOBI_02423","MOFHFCGN_00033","IFGBOHMA_01006","PIPEENFB_00639","EPECHOLL_01906"
"cshA","","DEAD-box ATP-dependent RNA helicase CshA","9","9","1","15","29","","","","1520","1523","1522","FAGDNHIP_00439","BGMKIKPO_01881","HGOKLDLI_02758","IGOCDMGC_02768","LKFOIOBI_02813","MOFHFCGN_02608","IFGBOHMA_02502","PIPEENFB_02860","EPECHOLL_01761"
"ptsH","","Phosphocarrier protein HPr","9","9","1","14","3421","","","","266","266","266","FAGDNHIP_02026","BGMKIKPO_02399","HGOKLDLI_00523","IGOCDMGC_01705","LKFOIOBI_01987","MOFHFCGN_00734","IFGBOHMA_01583","PIPEENFB_00146","EPECHOLL_01646"
"group_471","","hypothetical protein","9","9","1","14","535","","","","413","413","413","FAGDNHIP_00140","BGMKIKPO_00608","HGOKLDLI_00676","IGOCDMGC_01495","LKFOIOBI_00313","MOFHFCGN_01981","IFGBOHMA_00233","PIPEENFB_01586","EPECHOLL_00229"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","9","9","1","15","47","","","","440","440","440","FAGDNHIP_02380","BGMKIKPO_02720","HGOKLDLI_02896","IGOCDMGC_02592","LKFOIOBI_02720","MOFHFCGN_02625","IFGBOHMA_02801","PIPEENFB_02813","EPECHOLL_01744"
"group_4711","","hypothetical protein","9","9","1","14","724","","","","896","896","896","FAGDNHIP_01296","BGMKIKPO_00486","HGOKLDLI_02341","IGOCDMGC_02515","LKFOIOBI_00157","MOFHFCGN_02338","IFGBOHMA_00520","PIPEENFB_01770","EPECHOLL_00795"
"group_4712","","Putative universal stress protein","9","9","1","14","3199","","","","503","503","503","FAGDNHIP_01174","BGMKIKPO_01494","HGOKLDLI_01470","IGOCDMGC_00269","LKFOIOBI_00941","MOFHFCGN_01336","IFGBOHMA_01816","PIPEENFB_00983","EPECHOLL_00893"
"group_4713","","hypothetical protein","9","9","1","14","2480","","","","284","284","284","FAGDNHIP_02110","BGMKIKPO_00935","HGOKLDLI_01038","IGOCDMGC_02211","LKFOIOBI_01397","MOFHFCGN_00901","IFGBOHMA_00587","PIPEENFB_01871","EPECHOLL_01407"
"ydhP_1","","Inner membrane transport protein YdhP","9","9","1","14","3939","","","","1160","1160","1160","FAGDNHIP_01840","BGMKIKPO_01710","HGOKLDLI_00120","IGOCDMGC_01105","LKFOIOBI_02336","MOFHFCGN_00119","IFGBOHMA_01092","PIPEENFB_00553","EPECHOLL_01992"
"group_4715","","hypothetical protein","9","9","1","14","4453","","","","224","224","224","FAGDNHIP_02268","BGMKIKPO_02547","HGOKLDLI_01781","IGOCDMGC_01831","LKFOIOBI_00718","MOFHFCGN_00656","IFGBOHMA_02575","PIPEENFB_01214","EPECHOLL_02242"
"deoB","","Phosphopentomutase","9","9","1","15","88","","","","1184","1184","1184","FAGDNHIP_02342","BGMKIKPO_02157","HGOKLDLI_02859","IGOCDMGC_02629","LKFOIOBI_02683","MOFHFCGN_02662","IFGBOHMA_02763","PIPEENFB_02692","EPECHOLL_01707"
"group_4717","","putative ABC transporter permease protein","9","9","1","14","1509","","","","998","998","998","FAGDNHIP_00705","BGMKIKPO_00350","HGOKLDLI_01740","IGOCDMGC_01946","LKFOIOBI_02630","MOFHFCGN_02712","IFGBOHMA_02051","PIPEENFB_02517","EPECHOLL_01811"
"group_4718","","hypothetical protein","9","9","1","14","3234","","","","494","494","494","FAGDNHIP_01205","BGMKIKPO_01525","HGOKLDLI_01501","IGOCDMGC_00300","LKFOIOBI_00910","MOFHFCGN_01367","IFGBOHMA_01785","PIPEENFB_01014","EPECHOLL_00861"
"nth","","Endonuclease III","9","9","1","14","2943","","","","659","659","659","FAGDNHIP_00934","BGMKIKPO_02744","HGOKLDLI_01233","IGOCDMGC_00674","LKFOIOBI_01180","MOFHFCGN_01098","IFGBOHMA_00782","PIPEENFB_02237","EPECHOLL_01132"
"xylB_1","","Xylulose kinase","9","9","1","14","531","","","","1550","1550","1550","FAGDNHIP_00143","BGMKIKPO_00605","HGOKLDLI_00679","IGOCDMGC_01492","LKFOIOBI_00316","MOFHFCGN_01978","IFGBOHMA_00236","PIPEENFB_01583","EPECHOLL_00226"
"odh","","Opine dehydrogenase","9","9","1","14","299","","","","1070","1070","1070","FAGDNHIP_00341","BGMKIKPO_01013","HGOKLDLI_00879","IGOCDMGC_02042","LKFOIOBI_00515","MOFHFCGN_00433","IFGBOHMA_02351","PIPEENFB_01384","EPECHOLL_00432"
"trpB","","Tryptophan synthase beta chain","9","9","1","14","2861","","","","1214","1214","1214","FAGDNHIP_00857","BGMKIKPO_02823","HGOKLDLI_01155","IGOCDMGC_01262","LKFOIOBI_01517","MOFHFCGN_01021","IFGBOHMA_00704","PIPEENFB_02315","EPECHOLL_01209"
"yfhP","","putative protein YfhP","9","9","1","14","2301","","","","977","977","977","FAGDNHIP_02481","BGMKIKPO_01542","HGOKLDLI_02734","IGOCDMGC_01925","LKFOIOBI_01948","MOFHFCGN_02135","IFGBOHMA_02021","PIPEENFB_01798","EPECHOLL_02301"
"dosC","","Diguanylate cyclase DosC","9","9","1","14","3860","","","","1070","1070","1070","FAGDNHIP_01767","BGMKIKPO_01784","HGOKLDLI_00194","IGOCDMGC_01031","LKFOIOBI_02262","MOFHFCGN_00192","IFGBOHMA_01166","PIPEENFB_00479","EPECHOLL_00562"
"folD","","Bifunctional protein FolD protein","9","9","1","14","3440","","","","857","857","857","FAGDNHIP_02045","BGMKIKPO_02380","HGOKLDLI_00504","IGOCDMGC_01724","LKFOIOBI_02006","MOFHFCGN_00715","IFGBOHMA_01602","PIPEENFB_00165","EPECHOLL_01665"
"gcvPA","","putative glycine dehydrogenase (decarboxylating) subunit 1","9","9","1","14","3021","","","","1352","1352","1352","FAGDNHIP_01008","BGMKIKPO_01386","HGOKLDLI_01307","IGOCDMGC_00749","LKFOIOBI_01106","MOFHFCGN_01173","IFGBOHMA_00857","PIPEENFB_02162","EPECHOLL_01058"
"ydjF","","putative HTH-type transcriptional regulator YdjF","9","9","1","14","396","","","","764","767","764","FAGDNHIP_00255","BGMKIKPO_02473","HGOKLDLI_00793","IGOCDMGC_01385","LKFOIOBI_00429","MOFHFCGN_00519","IFGBOHMA_00350","PIPEENFB_01470","EPECHOLL_00347"
"hflX","","GTPase HflX","9","9","1","14","2790","","","","1235","1235","1235","FAGDNHIP_02161","BGMKIKPO_01135","HGOKLDLI_01089","IGOCDMGC_02262","LKFOIOBI_01449","MOFHFCGN_00953","IFGBOHMA_00638","PIPEENFB_01922","EPECHOLL_01360"
"rocD2_2","","Ornithine aminotransferase 2","9","9","1","14","745","","","","1187","1187","1187","FAGDNHIP_01277","BGMKIKPO_00468","HGOKLDLI_02359","IGOCDMGC_02497","LKFOIOBI_00139","MOFHFCGN_02356","IFGBOHMA_00502","PIPEENFB_01752","EPECHOLL_00770"
"accD","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","9","9","1","14","3189","","","","866","866","866","FAGDNHIP_01164","BGMKIKPO_02579","HGOKLDLI_01460","IGOCDMGC_00259","LKFOIOBI_00951","MOFHFCGN_01326","IFGBOHMA_01826","PIPEENFB_00973","EPECHOLL_00903"
"group_473","","hypothetical protein","9","9","1","14","529","","","","1079","1151","1143","FAGDNHIP_00145","BGMKIKPO_00603","HGOKLDLI_00681","IGOCDMGC_01490","LKFOIOBI_00318","MOFHFCGN_01976","IFGBOHMA_00238","PIPEENFB_01581","EPECHOLL_00224"
"frdB","","Fumarate reductase iron-sulfur subunit","9","9","1","14","3360","","","","821","821","821","FAGDNHIP_01968","BGMKIKPO_02457","HGOKLDLI_00581","IGOCDMGC_01646","LKFOIOBI_01279","MOFHFCGN_00792","IFGBOHMA_01525","PIPEENFB_00088","EPECHOLL_01587"
"group_4731","","Putative 2-hydroxyacid dehydrogenase","9","9","1","14","304","","","","956","956","956","FAGDNHIP_00336","BGMKIKPO_01018","HGOKLDLI_00874","IGOCDMGC_02037","LKFOIOBI_00510","MOFHFCGN_00438","IFGBOHMA_01862","PIPEENFB_01389","EPECHOLL_00427"
"rpmE2","","50S ribosomal protein L31 type B","9","9","1","15","70","","","","257","257","257","FAGDNHIP_02358","BGMKIKPO_02140","HGOKLDLI_02875","IGOCDMGC_02613","LKFOIOBI_02699","MOFHFCGN_02646","IFGBOHMA_02780","PIPEENFB_02792","EPECHOLL_01723"
"group_4733","","hypothetical protein","9","9","1","14","3940","","","","488","488","488","FAGDNHIP_01841","BGMKIKPO_01709","HGOKLDLI_00119","IGOCDMGC_01106","LKFOIOBI_02337","MOFHFCGN_00118","IFGBOHMA_01091","PIPEENFB_00554","EPECHOLL_01991"
"bmrA","","Multidrug resistance ABC transporter ATP-binding/permease protein BmrA","9","9","1","14","3968","","","","1718","1721","1718","FAGDNHIP_01868","BGMKIKPO_01682","HGOKLDLI_00092","IGOCDMGC_01133","LKFOIOBI_02364","MOFHFCGN_00091","IFGBOHMA_01064","PIPEENFB_00581","EPECHOLL_01964"
"carB","","Carbamoyl-phosphate synthase large chain","9","9","1","14","3314","","","","3173","3173","3173","FAGDNHIP_02565","BGMKIKPO_00710","HGOKLDLI_00621","IGOCDMGC_02398","LKFOIOBI_01327","MOFHFCGN_00832","IFGBOHMA_01485","PIPEENFB_00048","EPECHOLL_01545"
"group_4736","","hypothetical protein","9","9","1","14","4017","","","","716","716","716","FAGDNHIP_01915","BGMKIKPO_01635","HGOKLDLI_00045","IGOCDMGC_01180","LKFOIOBI_02411","MOFHFCGN_00044","IFGBOHMA_01017","PIPEENFB_00628","EPECHOLL_01917"
"gatA_1","","PTS system galactitol-specific EIIA component","9","9","1","14","907","","","","467","467","467","FAGDNHIP_02396","BGMKIKPO_01994","HGOKLDLI_01966","IGOCDMGC_00015","LKFOIOBI_01540","MOFHFCGN_02494","IFGBOHMA_02627","PIPEENFB_00862","EPECHOLL_02752"
"engB","","putative GTP-binding protein EngB","9","9","1","14","3164","","","","587","587","587","FAGDNHIP_01139","BGMKIKPO_02604","HGOKLDLI_01435","IGOCDMGC_00877","LKFOIOBI_00976","MOFHFCGN_01301","IFGBOHMA_01851","PIPEENFB_00948","EPECHOLL_00928"
"group_4739","","D-arabitol-phosphate dehydrogenase","9","9","1","14","910","","","","1031","1031","1031","FAGDNHIP_02399","BGMKIKPO_01991","HGOKLDLI_01963","IGOCDMGC_00018","LKFOIOBI_01543","MOFHFCGN_02497","IFGBOHMA_02630","PIPEENFB_00859","EPECHOLL_02749"
"yjmB","","putative symporter YjmB","9","9","1","14","527","","","","1403","1403","1403","FAGDNHIP_00147","BGMKIKPO_00601","HGOKLDLI_00683","IGOCDMGC_01488","LKFOIOBI_00320","MOFHFCGN_01974","IFGBOHMA_00240","PIPEENFB_01579","EPECHOLL_00222"
