"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Brevi_341_13.fa","Brevi_738_8.fa","Brevi_862_7.fa","Brevi_876_7.fa","Brevi_900_6.fa","Brevi_908_7.fa","Brevi_947_7.fa","Brevi_962_8.fa","Brevi_JB5.fa"
"group_756","","hypothetical protein","9","9","1","56","466","","","","464","464","464","AGEJDLBK_00891","MCCDGJGB_00265","GGCDANDK_01375","IHGJPHMH_01519","LDOPIMGM_02421","EBMLHIBA_02129","IOFEINNK_01335","AGDBFNGI_01408","ADMANBBD_03122"
"dmg_2","","Dimethylglycine oxidase","9","9","1","56","6580","","","","2513","2513","2513","AGEJDLBK_01862","MCCDGJGB_03185","GGCDANDK_01828","IHGJPHMH_00459","LDOPIMGM_00077","EBMLHIBA_03540","IOFEINNK_02653","AGDBFNGI_01055","ADMANBBD_00428"
"group_7561","","hypothetical protein","9","9","1","56","516","","","","281","281","281","AGEJDLBK_00941","MCCDGJGB_00214","GGCDANDK_01426","IHGJPHMH_01468","LDOPIMGM_02371","EBMLHIBA_02078","IOFEINNK_01386","AGDBFNGI_01458","ADMANBBD_03067"
"iscS","","IscS-like cysteine desulfurase","9","9","1","56","3275","","","","1175","1175","1175","AGEJDLBK_02105","MCCDGJGB_00958","GGCDANDK_00586","IHGJPHMH_02358","LDOPIMGM_03379","EBMLHIBA_01515","IOFEINNK_00645","AGDBFNGI_02831","ADMANBBD_00206"
"citE","","Citrate lyase subunit beta-like protein","9","9","1","56","5488","","","","803","803","803","AGEJDLBK_00426","MCCDGJGB_02467","GGCDANDK_01927","IHGJPHMH_00881","LDOPIMGM_01312","EBMLHIBA_00919","IOFEINNK_01983","AGDBFNGI_03125","ADMANBBD_02867"
"group_7564","","hypothetical protein","9","9","1","56","512","","","","203","203","203","AGEJDLBK_00937","MCCDGJGB_00218","GGCDANDK_01422","IHGJPHMH_01472","LDOPIMGM_02375","EBMLHIBA_02082","IOFEINNK_01382","AGDBFNGI_01454","ADMANBBD_03071"
"soxA_1","","Monomeric sarcosine oxidase","9","9","1","56","2776","","","","1403","1403","1403","AGEJDLBK_01475","MCCDGJGB_01907","GGCDANDK_00285","IHGJPHMH_02010","LDOPIMGM_00446","EBMLHIBA_00321","IOFEINNK_03408","AGDBFNGI_02448","ADMANBBD_03822"
"glpQ_2","","Glycerophosphodiester phosphodiesterase","9","9","1","56","6522","","","","815","815","815","AGEJDLBK_01813","MCCDGJGB_03230","GGCDANDK_03569","IHGJPHMH_00504","LDOPIMGM_00032","EBMLHIBA_03495","IOFEINNK_02608","AGDBFNGI_01100","ADMANBBD_02314"
"group_7567","","hypothetical protein","9","9","1","56","1800","","","","299","299","299","AGEJDLBK_02591","MCCDGJGB_01307","GGCDANDK_00784","IHGJPHMH_03186","LDOPIMGM_00192","EBMLHIBA_03179","IOFEINNK_01030","AGDBFNGI_01838","ADMANBBD_02669"
"prfC","","Peptide chain release factor 3","9","9","1","56","1075","","","","1592","1592","1592","AGEJDLBK_01331","MCCDGJGB_03575","GGCDANDK_01118","IHGJPHMH_01765","LDOPIMGM_01819","EBMLHIBA_02942","IOFEINNK_00423","AGDBFNGI_00599","ADMANBBD_03488"
"ftsX","","Cell division protein FtsX","9","9","1","56","3400","","","","914","914","914","AGEJDLBK_02008","MCCDGJGB_01065","GGCDANDK_03384","IHGJPHMH_02457","LDOPIMGM_01753","EBMLHIBA_01612","IOFEINNK_00546","AGDBFNGI_02599","ADMANBBD_00106"
"group_757","","hypothetical protein","9","9","1","56","481","","","","212","212","212","AGEJDLBK_00906","MCCDGJGB_00250","GGCDANDK_01390","IHGJPHMH_01504","LDOPIMGM_02406","EBMLHIBA_02114","IOFEINNK_01350","AGDBFNGI_01423","ADMANBBD_03107"
"group_7570","","hypothetical protein","9","9","1","56","3816","","","","1586","1586","1586","AGEJDLBK_00186","MCCDGJGB_02051","GGCDANDK_02570","IHGJPHMH_01220","LDOPIMGM_02158","EBMLHIBA_01425","IOFEINNK_01794","AGDBFNGI_00045","ADMANBBD_02193"
"group_7571","","hypothetical protein","9","9","1","56","1496","","","","788","788","788","AGEJDLBK_03036","MCCDGJGB_02314","GGCDANDK_00141","IHGJPHMH_00715","LDOPIMGM_01457","EBMLHIBA_01074","IOFEINNK_02130","AGDBFNGI_03274","ADMANBBD_01270"
"ktrA_1","","Ktr system potassium uptake protein A","9","9","1","56","6573","","","","734","734","734","AGEJDLBK_01855","MCCDGJGB_03192","GGCDANDK_01835","IHGJPHMH_00466","LDOPIMGM_00070","EBMLHIBA_03533","IOFEINNK_02646","AGDBFNGI_01062","ADMANBBD_00435"
"group_7573","","hypothetical protein","9","9","1","56","2781","","","","497","506","501","AGEJDLBK_01470","MCCDGJGB_01902","GGCDANDK_00280","IHGJPHMH_02014","LDOPIMGM_00451","EBMLHIBA_00317","IOFEINNK_03413","AGDBFNGI_02443","ADMANBBD_03826"
"resE","","Sensor histidine kinase ResE","9","9","1","56","2848","","","","1187","1187","1187","AGEJDLBK_02364","MCCDGJGB_01835","GGCDANDK_00986","IHGJPHMH_02077","LDOPIMGM_00524","EBMLHIBA_00252","IOFEINNK_00796","AGDBFNGI_02377","ADMANBBD_01630"
"group_7575","","hypothetical protein","9","9","1","56","2311","","","","1262","1283","1264","AGEJDLBK_01965","MCCDGJGB_01178","GGCDANDK_03024","IHGJPHMH_03434","LDOPIMGM_01713","EBMLHIBA_01652","IOFEINNK_00506","AGDBFNGI_00135","ADMANBBD_00066"
"lcoP","","Betaine/ectoine transporter LcoP","9","9","1","56","4436","","","","2135","2135","2135","AGEJDLBK_03511","MCCDGJGB_03437","GGCDANDK_02923","IHGJPHMH_02709","LDOPIMGM_03597","EBMLHIBA_03351","IOFEINNK_02728","AGDBFNGI_03430","ADMANBBD_03412"
"sugC_1","","Trehalose import ATP-binding protein SugC","9","9","1","56","2863","","","","770","770","770","AGEJDLBK_02377","MCCDGJGB_01821","GGCDANDK_00973","IHGJPHMH_02089","LDOPIMGM_00537","EBMLHIBA_00240","IOFEINNK_00809","AGDBFNGI_02364","ADMANBBD_01643"
"serC","","Phosphoserine aminotransferase","9","9","1","56","2807","","","","1157","1178","1161","AGEJDLBK_02324","MCCDGJGB_01876","GGCDANDK_01027","IHGJPHMH_02038","LDOPIMGM_00485","EBMLHIBA_00293","IOFEINNK_00756","AGDBFNGI_02418","ADMANBBD_01590"
"guaA_2","","GMP synthase [glutamine-hydrolyzing]","9","9","1","56","2366","","","","1556","1580","1558","AGEJDLBK_02308","MCCDGJGB_01137","GGCDANDK_03203","IHGJPHMH_03387","LDOPIMGM_01672","EBMLHIBA_01702","IOFEINNK_02409","AGDBFNGI_00085","ADMANBBD_00994"
"rlmB","","23S rRNA (guanosine-2'-O-)-methyltransferase RlmB","9","9","1","56","490","","","","458","947","884","AGEJDLBK_00915","MCCDGJGB_00241","GGCDANDK_01399","IHGJPHMH_01495","LDOPIMGM_02397","EBMLHIBA_02105","IOFEINNK_01359","AGDBFNGI_01432","ADMANBBD_03093"
"group_7580","","hypothetical protein","9","9","1","56","225","","","","1139","1139","1139","AGEJDLBK_00671","MCCDGJGB_03345","GGCDANDK_01501","IHGJPHMH_01050","LDOPIMGM_02640","EBMLHIBA_02345","IOFEINNK_02313","AGDBFNGI_01188","ADMANBBD_03340"
"group_7581","","hypothetical protein","9","9","1","56","3293","","","","359","359","359","AGEJDLBK_02088","MCCDGJGB_00975","GGCDANDK_00603","IHGJPHMH_02375","LDOPIMGM_03396","EBMLHIBA_01532","IOFEINNK_00628","AGDBFNGI_02848","ADMANBBD_00189"
"group_7582","","putative ABC transporter ATP-binding protein","9","9","1","56","4883","","","","2147","2147","2147","AGEJDLBK_03543","MCCDGJGB_02149","GGCDANDK_02904","IHGJPHMH_03744","LDOPIMGM_01619","EBMLHIBA_03032","IOFEINNK_01491","AGDBFNGI_03581","ADMANBBD_03684"
"aspC_2","","putative aspartate aminotransferase","9","9","1","56","6991","","","","1268","1268","1268","AGEJDLBK_03147","MCCDGJGB_01407","GGCDANDK_00666","IHGJPHMH_02802","LDOPIMGM_03286","EBMLHIBA_01866","IOFEINNK_02940","AGDBFNGI_02076","ADMANBBD_00029"
"purA","","Adenylosuccinate synthetase","9","9","1","56","4477","","","","1286","1286","1286","AGEJDLBK_02501","MCCDGJGB_03406","GGCDANDK_02057","IHGJPHMH_02737","LDOPIMGM_03098","EBMLHIBA_03323","IOFEINNK_02760","AGDBFNGI_03398","ADMANBBD_02440"
"purH","","Bifunctional purine biosynthesis protein PurH","9","9","1","56","835","","","","1583","1583","1583","AGEJDLBK_01375","MCCDGJGB_03616","GGCDANDK_01159","IHGJPHMH_01723","LDOPIMGM_01860","EBMLHIBA_02901","IOFEINNK_00376","AGDBFNGI_00640","ADMANBBD_03447"
"group_7586","","hypothetical protein","9","9","1","56","1804","","","","1103","1106","1105","AGEJDLBK_02594","MCCDGJGB_01304","GGCDANDK_00787","IHGJPHMH_03189","LDOPIMGM_00189","EBMLHIBA_03176","IOFEINNK_01027","AGDBFNGI_01841","ADMANBBD_02666"
"group_7587","","hypothetical protein","9","9","1","56","6997","","","","1832","1868","1844","AGEJDLBK_03157","MCCDGJGB_01412","GGCDANDK_00671","IHGJPHMH_02792","LDOPIMGM_03276","EBMLHIBA_01876","IOFEINNK_02930","AGDBFNGI_02066","ADMANBBD_00019"
"group_7588","","hypothetical protein","9","9","1","56","5939","","","","1157","1157","1157","AGEJDLBK_02201","MCCDGJGB_02832","GGCDANDK_03468","IHGJPHMH_01359","LDOPIMGM_03012","EBMLHIBA_00734","IOFEINNK_03444","AGDBFNGI_02000","ADMANBBD_03612"
"group_7589","","putative protein","9","9","1","56","6049","","","","1322","1322","1322","AGEJDLBK_01218","MCCDGJGB_02711","GGCDANDK_02675","IHGJPHMH_02911","LDOPIMGM_02774","EBMLHIBA_01118","IOFEINNK_01741","AGDBFNGI_00477","ADMANBBD_01544"
"group_759","","hypothetical protein","9","9","1","56","493","","","","629","662","654","AGEJDLBK_00917","MCCDGJGB_00238","GGCDANDK_01402","IHGJPHMH_01492","LDOPIMGM_02395","EBMLHIBA_02102","IOFEINNK_01362","AGDBFNGI_01434","ADMANBBD_03091"
"xerC_1","","Tyrosine recombinase XerC","9","9","1","56","5733","","","","959","959","959","AGEJDLBK_00549","MCCDGJGB_00846","GGCDANDK_00475","IHGJPHMH_02246","LDOPIMGM_02061","EBMLHIBA_00635","IOFEINNK_00747","AGDBFNGI_01693","ADMANBBD_00716"
"group_7591","","hypothetical protein","9","9","1","56","5590","","","","1070","1073","1071","AGEJDLBK_00331","MCCDGJGB_02565","GGCDANDK_02023","IHGJPHMH_00976","LDOPIMGM_01217","EBMLHIBA_00824","IOFEINNK_01889","AGDBFNGI_03030","ADMANBBD_02772"
"nadB","","L-aspartate oxidase","9","9","1","56","2376","","","","1676","1703","1693","AGEJDLBK_02318","MCCDGJGB_01127","GGCDANDK_03626","IHGJPHMH_03377","LDOPIMGM_01662","EBMLHIBA_01712","IOFEINNK_02399","AGDBFNGI_00075","ADMANBBD_01004"
"tpiA","","Triosephosphate isomerase","9","9","1","56","460","","","","785","785","785","AGEJDLBK_00885","MCCDGJGB_00271","GGCDANDK_01369","IHGJPHMH_01525","LDOPIMGM_02427","EBMLHIBA_02135","IOFEINNK_01329","AGDBFNGI_01402","ADMANBBD_03128"
"menH_1","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","9","9","1","56","842","","","","1019","1037","1025","AGEJDLBK_01367","MCCDGJGB_03608","GGCDANDK_01151","IHGJPHMH_01731","LDOPIMGM_01852","EBMLHIBA_02909","IOFEINNK_00384","AGDBFNGI_00632","ADMANBBD_03455"
"group_7595","fabG_3","3-oxoacyl-[acyl-carrier-protein] reductase FabG","9","9","1","56","1857","","","","809","809","809","AGEJDLBK_02640","MCCDGJGB_01258","GGCDANDK_00834","IHGJPHMH_03235","LDOPIMGM_00812","EBMLHIBA_03130","IOFEINNK_00976","AGDBFNGI_01887","ADMANBBD_02620"
"betB","","NAD/NADP-dependent betaine aldehyde dehydrogenase","9","9","1","56","4898","","","","1442","1442","1442","AGEJDLBK_03372","MCCDGJGB_02164","GGCDANDK_02889","IHGJPHMH_03661","LDOPIMGM_01604","EBMLHIBA_03047","IOFEINNK_02275","AGDBFNGI_02764","ADMANBBD_01407"
"group_7597","","putative ABC transporter ATP-binding protein","9","9","1","56","4049","","","","713","713","713","AGEJDLBK_00039","MCCDGJGB_00098","GGCDANDK_03742","IHGJPHMH_03299","LDOPIMGM_02270","EBMLHIBA_03662","IOFEINNK_01188","AGDBFNGI_03455","ADMANBBD_02949"
"prcA","","Proteasome subunit alpha","9","9","1","56","530","","","","695","695","695","AGEJDLBK_00955","MCCDGJGB_00200","GGCDANDK_01440","IHGJPHMH_01454","LDOPIMGM_02357","EBMLHIBA_02064","IOFEINNK_01400","AGDBFNGI_01472","ADMANBBD_03053"
"group_7599","","hypothetical protein","9","9","1","56","378","","","","551","560","557","AGEJDLBK_00809","MCCDGJGB_00344","GGCDANDK_01293","IHGJPHMH_01598","LDOPIMGM_02500","EBMLHIBA_02208","IOFEINNK_01254","AGDBFNGI_01326","ADMANBBD_03201"
"dnaE2","","Error-prone DNA polymerase","9","9","1","56","502","","","","3368","3383","3379","AGEJDLBK_00926","MCCDGJGB_00229","GGCDANDK_01411","IHGJPHMH_01483","LDOPIMGM_02386","EBMLHIBA_02093","IOFEINNK_01371","AGDBFNGI_01443","ADMANBBD_03082"
"ksgA","","Ribosomal RNA small subunit methyltransferase A","9","9","1","56","2310","","","","947","947","947","AGEJDLBK_01966","MCCDGJGB_01179","GGCDANDK_03025","IHGJPHMH_03435","LDOPIMGM_01714","EBMLHIBA_01651","IOFEINNK_00507","AGDBFNGI_00136","ADMANBBD_00067"
"group_7601","","hypothetical protein","9","9","1","56","1584","","","","578","578","578","AGEJDLBK_03244","MCCDGJGB_02396","GGCDANDK_00058","IHGJPHMH_00797","LDOPIMGM_01375","EBMLHIBA_00991","IOFEINNK_02048","AGDBFNGI_03188","ADMANBBD_01185"
"group_7602","","hypothetical protein","9","9","1","56","2400","","","","395","395","395","AGEJDLBK_01414","MCCDGJGB_01106","GGCDANDK_00217","IHGJPHMH_01829","LDOPIMGM_01640","EBMLHIBA_02466","IOFEINNK_03570","AGDBFNGI_02929","ADMANBBD_01568"
"smc_2","","Chromosome partition protein Smc","9","9","1","56","3174","","","","3374","3434","3380","AGEJDLBK_02718","MCCDGJGB_00465","GGCDANDK_02443","IHGJPHMH_00158","LDOPIMGM_00749","EBMLHIBA_00029","IOFEINNK_03496","AGDBFNGI_02019","ADMANBBD_01860"
"group_7604","","hypothetical protein","9","9","1","56","3903","","","","383","383","383","AGEJDLBK_00115","MCCDGJGB_02122","GGCDANDK_02508","IHGJPHMH_01149","LDOPIMGM_01924","EBMLHIBA_03441","IOFEINNK_01856","AGDBFNGI_02667","ADMANBBD_00910"
"rplC","","50S ribosomal protein L3","9","9","1","56","5920","","","","674","674","674","AGEJDLBK_02220","MCCDGJGB_02813","GGCDANDK_03449","IHGJPHMH_01378","LDOPIMGM_03031","EBMLHIBA_00753","IOFEINNK_02863","AGDBFNGI_01981","ADMANBBD_03631"
"group_7606","","hypothetical protein","9","9","1","56","5952","","","","1637","1637","1637","AGEJDLBK_02188","MCCDGJGB_02845","GGCDANDK_03481","IHGJPHMH_01346","LDOPIMGM_02999","EBMLHIBA_00721","IOFEINNK_03457","AGDBFNGI_03842","ADMANBBD_03599"
"group_7607","","hypothetical protein","9","9","1","56","3741","","","","170","170","170","AGEJDLBK_00257","MCCDGJGB_02991","GGCDANDK_02288","IHGJPHMH_01291","LDOPIMGM_02229","EBMLHIBA_01354","IOFEINNK_03174","AGDBFNGI_00220","ADMANBBD_02264"
"pdg","","Ultraviolet N-glycosylase/AP lyase","9","9","1","56","1612","","","","731","740","739","AGEJDLBK_03222","MCCDGJGB_02419","GGCDANDK_00034","IHGJPHMH_00819","LDOPIMGM_01353","EBMLHIBA_00969","IOFEINNK_02026","AGDBFNGI_03166","ADMANBBD_01032"
"group_7609","","hypothetical protein","9","9","1","56","3389","","","","974","974","974","AGEJDLBK_02020","MCCDGJGB_01053","GGCDANDK_03372","IHGJPHMH_02445","LDOPIMGM_01765","EBMLHIBA_01600","IOFEINNK_00558","AGDBFNGI_02611","ADMANBBD_00120"
"group_761","","putative HTH-type transcriptional regulator","9","9","1","56","506","","","","470","587","522","AGEJDLBK_00930","MCCDGJGB_00225","GGCDANDK_01415","IHGJPHMH_01479","LDOPIMGM_02382","EBMLHIBA_02089","IOFEINNK_01375","AGDBFNGI_01447","ADMANBBD_03078"
"group_7610","","hypothetical protein","9","9","1","56","6107","","","","1457","1457","1457","AGEJDLBK_01168","MCCDGJGB_02664","GGCDANDK_02719","IHGJPHMH_02959","LDOPIMGM_02819","EBMLHIBA_01163","IOFEINNK_01694","AGDBFNGI_00425","ADMANBBD_01498"
"argS_2","","Arginine--tRNA ligase","9","9","1","56","3789","","","","902","902","902","AGEJDLBK_00210","MCCDGJGB_02027","GGCDANDK_02594","IHGJPHMH_01244","LDOPIMGM_02182","EBMLHIBA_01401","IOFEINNK_01770","AGDBFNGI_00020","ADMANBBD_02217"
"group_7612","","hypothetical protein","9","9","1","56","2787","","","","512","512","512","AGEJDLBK_01464","MCCDGJGB_01896","GGCDANDK_00274","IHGJPHMH_02020","LDOPIMGM_00458","EBMLHIBA_00311","IOFEINNK_03419","AGDBFNGI_02437","ADMANBBD_03832"
"lrpC_2","","HTH-type transcriptional regulator LrpC","9","9","1","56","6948","","","","485","494","493","AGEJDLBK_03128","MCCDGJGB_01384","GGCDANDK_00643","IHGJPHMH_02832","LDOPIMGM_03307","EBMLHIBA_01838","IOFEINNK_03700","AGDBFNGI_02121","ADMANBBD_00050"
"group_7614","","hypothetical protein","9","9","1","56","1863","","","","2357","2366","2358","AGEJDLBK_02646","MCCDGJGB_01252","GGCDANDK_00840","IHGJPHMH_03241","LDOPIMGM_00806","EBMLHIBA_03124","IOFEINNK_00970","AGDBFNGI_01893","ADMANBBD_02614"
"group_7615","","hypothetical protein","9","9","1","56","3266","","","","1094","1094","1094","AGEJDLBK_02114","MCCDGJGB_00949","GGCDANDK_00577","IHGJPHMH_02349","LDOPIMGM_03370","EBMLHIBA_01506","IOFEINNK_00654","AGDBFNGI_02822","ADMANBBD_00215"
"group_7616","","hypothetical protein","9","9","1","56","2308","","","","746","746","746","AGEJDLBK_01968","MCCDGJGB_01181","GGCDANDK_03027","IHGJPHMH_03437","LDOPIMGM_01716","EBMLHIBA_01649","IOFEINNK_00509","AGDBFNGI_00138","ADMANBBD_00069"
"group_7617","","hypothetical protein","9","9","1","56","3345","","","","347","347","347","AGEJDLBK_02052","MCCDGJGB_01021","GGCDANDK_02992","IHGJPHMH_02411","LDOPIMGM_03432","EBMLHIBA_01568","IOFEINNK_00591","AGDBFNGI_02884","ADMANBBD_00152"
"afsK","","Serine/threonine-protein kinase AfsK","9","9","1","56","2858","","","","2075","2111","2099","AGEJDLBK_02372","MCCDGJGB_01826","GGCDANDK_00978","IHGJPHMH_02084","LDOPIMGM_00532","EBMLHIBA_00245","IOFEINNK_00804","AGDBFNGI_02369","ADMANBBD_01638"
"menH_2","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","9","9","1","56","3958","","","","869","869","869","AGEJDLBK_00092","MCCDGJGB_00032","GGCDANDK_02355","IHGJPHMH_03682","LDOPIMGM_02668","EBMLHIBA_02635","IOFEINNK_01120","AGDBFNGI_03576","ADMANBBD_02895"
"dapE_3","","Succinyl-diaminopimelate desuccinylase","9","9","1","56","510","","","","1307","1466","1448","AGEJDLBK_00935","MCCDGJGB_00220","GGCDANDK_01420","IHGJPHMH_01474","LDOPIMGM_02377","EBMLHIBA_02084","IOFEINNK_01380","AGDBFNGI_01452","ADMANBBD_03073"
"group_7620","","hypothetical protein","9","9","1","56","2356","","","","2552","2603","2557","AGEJDLBK_02298","MCCDGJGB_01147","GGCDANDK_03213","IHGJPHMH_03397","LDOPIMGM_01682","EBMLHIBA_01683","IOFEINNK_02428","AGDBFNGI_00104","ADMANBBD_00984"
"pdtaS","","putative sensor histidine kinase pdtaS","9","9","1","56","6140","","","","1514","1544","1534","AGEJDLBK_01135","MCCDGJGB_02631","GGCDANDK_02752","IHGJPHMH_02992","LDOPIMGM_02852","EBMLHIBA_01196","IOFEINNK_01661","AGDBFNGI_00392","ADMANBBD_01465"
"iolT","","Major myo-inositol transporter IolT","9","9","1","56","6066","","","","1553","1583","1563","AGEJDLBK_01201","MCCDGJGB_02699","GGCDANDK_02687","IHGJPHMH_02923","LDOPIMGM_02786","EBMLHIBA_01130","IOFEINNK_01729","AGDBFNGI_00460","ADMANBBD_01533"
"group_7623","","S-(hydroxymethyl)mycothiol dehydrogenase","9","9","1","56","2873","","","","1091","1091","1091","AGEJDLBK_02386","MCCDGJGB_01813","GGCDANDK_00965","IHGJPHMH_02098","LDOPIMGM_00545","EBMLHIBA_00232","IOFEINNK_00817","AGDBFNGI_02356","ADMANBBD_01652"
"group_7624","","putative HTH-type transcriptional regulator","9","9","1","56","6239","","","","491","494","493","AGEJDLBK_01067","MCCDGJGB_02896","GGCDANDK_02802","IHGJPHMH_03053","LDOPIMGM_02913","EBMLHIBA_01257","IOFEINNK_03271","AGDBFNGI_00324","ADMANBBD_02104"
"group_7625","","hypothetical protein","9","9","1","56","5498","","","","644","644","644","AGEJDLBK_00417","MCCDGJGB_02476","GGCDANDK_01936","IHGJPHMH_00890","LDOPIMGM_01303","EBMLHIBA_00910","IOFEINNK_01974","AGDBFNGI_03116","ADMANBBD_02858"
"glnA_1","","Glutamine synthetase","9","9","1","56","4088","","","","1358","1358","1358","AGEJDLBK_00020","MCCDGJGB_00129","GGCDANDK_01865","IHGJPHMH_03280","LDOPIMGM_02286","EBMLHIBA_02836","IOFEINNK_01473","AGDBFNGI_03707","ADMANBBD_02981"
"group_7627","","Putative hydrolase/MSMEI_3903","9","9","1","56","6689","","","","1340","1340","1340","AGEJDLBK_01915","MCCDGJGB_03121","GGCDANDK_01767","IHGJPHMH_00409","LDOPIMGM_00132","EBMLHIBA_01718","IOFEINNK_02715","AGDBFNGI_00994","ADMANBBD_00370"
"prpB","","2-methylisocitrate lyase","9","9","1","56","5545","","","","905","905","905","AGEJDLBK_00375","MCCDGJGB_02521","GGCDANDK_01979","IHGJPHMH_00932","LDOPIMGM_01261","EBMLHIBA_00868","IOFEINNK_01933","AGDBFNGI_03074","ADMANBBD_02816"
"group_7629","","hypothetical protein","9","9","1","56","1614","","","","1475","1499","1493","AGEJDLBK_03220","MCCDGJGB_02421","GGCDANDK_00032","IHGJPHMH_00821","LDOPIMGM_01351","EBMLHIBA_00967","IOFEINNK_02024","AGDBFNGI_03164","ADMANBBD_01034"
"group_763","","hypothetical protein","9","9","1","56","534","","","","1100","1124","1113","AGEJDLBK_00959","MCCDGJGB_00196","GGCDANDK_01444","IHGJPHMH_01450","LDOPIMGM_02353","EBMLHIBA_02060","IOFEINNK_01404","AGDBFNGI_01476","ADMANBBD_03049"
"hpcG","","2-oxo-hept-4-ene-1,7-dioate hydratase","9","9","1","56","1482","","","","785","785","785","AGEJDLBK_03051","MCCDGJGB_02298","GGCDANDK_00154","IHGJPHMH_00700","LDOPIMGM_01470","EBMLHIBA_00496","IOFEINNK_02145","AGDBFNGI_03289","ADMANBBD_01285"
"catI","","3-oxoadipate CoA-transferase subunit A","9","9","1","56","4520","","","","914","914","914","AGEJDLBK_02467","MCCDGJGB_03070","GGCDANDK_03097","IHGJPHMH_03671","LDOPIMGM_03132","EBMLHIBA_03289","IOFEINNK_02794","AGDBFNGI_03364","ADMANBBD_02400"
"tatD","","putative metal-dependent hydrolase TatD","9","9","1","56","2409","","","","920","920","920","AGEJDLBK_01424","MCCDGJGB_01098","GGCDANDK_00227","IHGJPHMH_01839","LDOPIMGM_01630","EBMLHIBA_02474","IOFEINNK_03562","AGDBFNGI_02937","ADMANBBD_01560"
"mtlK","","Mannitol 2-dehydrogenase","9","9","1","56","2316","","","","1520","1520","1520","AGEJDLBK_02271","MCCDGJGB_01174","GGCDANDK_03240","IHGJPHMH_03430","LDOPIMGM_01709","EBMLHIBA_01656","IOFEINNK_02455","AGDBFNGI_00131","ADMANBBD_00946"
"group_7634","","hypothetical protein","9","9","1","56","487","","","","734","734","734","AGEJDLBK_00912","MCCDGJGB_00244","GGCDANDK_01396","IHGJPHMH_01498","LDOPIMGM_02400","EBMLHIBA_02108","IOFEINNK_01356","AGDBFNGI_01429","ADMANBBD_03101"
"hsaB_1","","Flavin-dependent monooxygenase, reductase subunit HsaB","9","9","1","56","6056","","","","536","536","536","AGEJDLBK_01211","MCCDGJGB_02704","GGCDANDK_02682","IHGJPHMH_02918","LDOPIMGM_02782","EBMLHIBA_01125","IOFEINNK_01734","AGDBFNGI_00470","ADMANBBD_01537"
"nmtR","","HTH-type transcriptional regulator NmtR","9","9","1","56","4470","","","","329","329","329","AGEJDLBK_02508","MCCDGJGB_03413","GGCDANDK_02050","IHGJPHMH_02730","LDOPIMGM_03091","EBMLHIBA_03330","IOFEINNK_02753","AGDBFNGI_03405","ADMANBBD_02447"
"ephD_1","","putative oxidoreductase EphD","9","9","1","56","1867","","","","773","773","773","AGEJDLBK_02649","MCCDGJGB_01249","GGCDANDK_00843","IHGJPHMH_03244","LDOPIMGM_00803","EBMLHIBA_03121","IOFEINNK_00967","AGDBFNGI_01896","ADMANBBD_02611"
"group_7638","","hypothetical protein","9","9","1","56","432","","","","299","302","301","AGEJDLBK_00861","MCCDGJGB_00295","GGCDANDK_01345","IHGJPHMH_01549","LDOPIMGM_02451","EBMLHIBA_02159","IOFEINNK_01303","AGDBFNGI_01378","ADMANBBD_03152"
"hpr","","HTH-type transcriptional regulator Hpr","9","9","1","56","5860","","","","551","551","551","AGEJDLBK_02268","MCCDGJGB_02760","GGCDANDK_03400","IHGJPHMH_01426","LDOPIMGM_03079","EBMLHIBA_00801","IOFEINNK_02911","AGDBFNGI_01933","ADMANBBD_03680"
"group_764","","hypothetical protein","9","9","1","56","546","","","","323","380","329","AGEJDLBK_00971","MCCDGJGB_00184","GGCDANDK_01456","IHGJPHMH_01438","LDOPIMGM_02341","EBMLHIBA_02048","IOFEINNK_01416","AGDBFNGI_01488","ADMANBBD_03037"
"rplT","","50S ribosomal protein L20","9","9","1","56","5084","","","","389","389","389","AGEJDLBK_00453","MCCDGJGB_00752","GGCDANDK_00377","IHGJPHMH_02157","LDOPIMGM_01960","EBMLHIBA_00541","IOFEINNK_02527","AGDBFNGI_01597","ADMANBBD_00812"
"group_7641","","hypothetical protein","9","9","1","56","303","","","","647","647","647","AGEJDLBK_00740","MCCDGJGB_00412","GGCDANDK_01224","IHGJPHMH_01667","LDOPIMGM_02569","EBMLHIBA_02276","IOFEINNK_03536","AGDBFNGI_01257","ADMANBBD_03270"
"gbsA","","Betaine aldehyde dehydrogenase","9","9","1","56","177","","","","1478","1478","1478","AGEJDLBK_00623","MCCDGJGB_03296","GGCDANDK_01550","IHGJPHMH_01002","LDOPIMGM_03224","EBMLHIBA_02393","IOFEINNK_03145","AGDBFNGI_02230","ADMANBBD_03360"
"group_7643","","Putative aminotransferase/MSMEI_6121","9","9","1","56","4130","","","","1259","1259","1259","AGEJDLBK_00992","MCCDGJGB_00163","GGCDANDK_02245","IHGJPHMH_03632","LDOPIMGM_02320","EBMLHIBA_02870","IOFEINNK_01437","AGDBFNGI_01510","ADMANBBD_03015"
