"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","com_341.fna","com_738.fna","com_862.fna","com_876.fna","com_900.fna","com_908.fna","com_947.fna","com_962.fna","com_JB.fna"
"rpsN_1","","30S ribosomal protein S14","9","9","1","1","2767","","","","305","305","305","GOJPHPBD_00420","DEIPBNHI_01765","LBLIGOHA_02306","IIFCLKFN_00838","BOFCGCOL_02838","KJABKPCK_02490","KLLDKJAP_03094","HHDJLLAI_00623","IFEKPJDH_01253"
"group_14542","","3-alpha-hydroxycholanate dehydrogenase (NAD(+))","9","9","1","1","2281","","","","881","881","881","GOJPHPBD_03700","DEIPBNHI_03641","LBLIGOHA_01154","IIFCLKFN_02596","BOFCGCOL_01701","KJABKPCK_01387","KLLDKJAP_03199","HHDJLLAI_00904","IFEKPJDH_02876"
"group_14543","","hypothetical protein","9","9","1","1","7571","","","","287","287","287","GOJPHPBD_06148","DEIPBNHI_05619","LBLIGOHA_04660","IIFCLKFN_05613","BOFCGCOL_04131","KJABKPCK_03827","KLLDKJAP_04404","HHDJLLAI_05989","IFEKPJDH_05186"
"group_14544","","putative protein","9","9","1","1","5726","","","","416","416","416","GOJPHPBD_04658","DEIPBNHI_04059","LBLIGOHA_04979","IIFCLKFN_05124","BOFCGCOL_06097","KJABKPCK_05714","KLLDKJAP_04926","HHDJLLAI_04949","IFEKPJDH_06752"
"group_14545","","hypothetical protein","9","9","1","1","11662","","","","593","593","593","GOJPHPBD_01064","DEIPBNHI_00516","LBLIGOHA_02022","IIFCLKFN_00530","BOFCGCOL_01150","KJABKPCK_00749","KLLDKJAP_00554","HHDJLLAI_01202","IFEKPJDH_02982"
"paaA","","1,2-phenylacetyl-CoA epoxidase, subunit A","9","9","1","1","9464","","","","977","977","977","GOJPHPBD_06602","DEIPBNHI_04450","LBLIGOHA_05752","IIFCLKFN_03786","BOFCGCOL_04586","KJABKPCK_06936","KLLDKJAP_03750","HHDJLLAI_04409","IFEKPJDH_04663"
"group_14547","","hypothetical protein","9","9","1","1","8618","","","","194","194","194","GOJPHPBD_03115","DEIPBNHI_03128","LBLIGOHA_01559","IIFCLKFN_02495","BOFCGCOL_02137","KJABKPCK_02676","KLLDKJAP_01718","HHDJLLAI_00264","IFEKPJDH_00779"
"group_14548","","hypothetical protein","9","9","1","1","2027","","","","548","548","548","GOJPHPBD_02823","DEIPBNHI_01120","LBLIGOHA_00928","IIFCLKFN_03180","BOFCGCOL_02674","KJABKPCK_03132","KLLDKJAP_02509","HHDJLLAI_01919","IFEKPJDH_00176"
"qmcA_1","","Protein QmcA","9","9","1","1","3192","","","","1130","1130","1130","GOJPHPBD_00662","DEIPBNHI_00769","LBLIGOHA_01347","IIFCLKFN_00934","BOFCGCOL_01336","KJABKPCK_02315","KLLDKJAP_02398","HHDJLLAI_03451","IFEKPJDH_01797"
"gpmA_1","","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","9","9","1","1","11798","","","","746","746","746","GOJPHPBD_01186","DEIPBNHI_00638","LBLIGOHA_02144","IIFCLKFN_00652","BOFCGCOL_01028","KJABKPCK_00874","KLLDKJAP_00676","HHDJLLAI_01563","IFEKPJDH_02552"
"gap2_2","","Glyceraldehyde-3-phosphate dehydrogenase 2","9","9","1","1","8493","","","","1001","1001","1001","GOJPHPBD_04691","DEIPBNHI_04026","LBLIGOHA_05012","IIFCLKFN_05091","BOFCGCOL_06064","KJABKPCK_05681","KLLDKJAP_04961","HHDJLLAI_04982","IFEKPJDH_06719"
"group_14552","","hypothetical protein","9","9","1","1","2049","","","","203","203","203","GOJPHPBD_02802","DEIPBNHI_01140","LBLIGOHA_00948","IIFCLKFN_03160","BOFCGCOL_00228","KJABKPCK_01777","KLLDKJAP_02488","HHDJLLAI_02589","IFEKPJDH_01961"
"group_14553","","hypothetical protein","9","9","1","1","7524","","","","326","326","326","GOJPHPBD_05281","DEIPBNHI_05659","LBLIGOHA_03927","IIFCLKFN_05575","BOFCGCOL_04083","KJABKPCK_03864","KLLDKJAP_07051","HHDJLLAI_06028","IFEKPJDH_07416"
"ylmA_2","","putative ABC transporter ATP-binding protein YlmA","9","9","1","1","8539","","","","794","794","794","GOJPHPBD_03194","DEIPBNHI_03038","LBLIGOHA_01480","IIFCLKFN_02574","BOFCGCOL_02058","KJABKPCK_02755","KLLDKJAP_01639","HHDJLLAI_00185","IFEKPJDH_01358"
"uppP_1","","Undecaprenyl-diphosphatase","9","9","1","1","8583","","","","872","872","872","GOJPHPBD_03151","DEIPBNHI_03082","LBLIGOHA_01523","IIFCLKFN_02531","BOFCGCOL_02101","KJABKPCK_02712","KLLDKJAP_01682","HHDJLLAI_00228","IFEKPJDH_00272"
"pglK","","Protein glycosylation K","9","9","1","3","64","","","","1844","1844","1844","GOJPHPBD_02005","DEIPBNHI_03427","LBLIGOHA_02810","IIFCLKFN_02235","BOFCGCOL_00137","KJABKPCK_00325","KLLDKJAP_00071","HHDJLLAI_02437","IFEKPJDH_01299"
"hisS_1","","Histidine--tRNA ligase","9","9","1","1","2424","","","","1382","1382","1382","GOJPHPBD_01358","DEIPBNHI_02360","LBLIGOHA_02232","IIFCLKFN_03010","BOFCGCOL_01992","KJABKPCK_01307","KLLDKJAP_02627","HHDJLLAI_01694","IFEKPJDH_00949"
"group_14558","sugB_6","Trehalose transport system permease protein SugB","9","9","1","1","12065","","","","884","884","884","GOJPHPBD_02632","DEIPBNHI_02704","LBLIGOHA_03056","IIFCLKFN_03542","BOFCGCOL_03579","KJABKPCK_03396","KLLDKJAP_03456","HHDJLLAI_03308","IFEKPJDH_00045"
"hisN_2","","Histidinol-phosphatase","9","9","1","1","3652","","","","806","806","806","GOJPHPBD_04033","DEIPBNHI_07476","LBLIGOHA_06278","IIFCLKFN_04823","BOFCGCOL_05834","KJABKPCK_04928","KLLDKJAP_05388","HHDJLLAI_03583","IFEKPJDH_05819"
"iolS_5","","Aldo-keto reductase IolS","9","9","1","1","939","","","","1052","1052","1052","GOJPHPBD_00152","DEIPBNHI_03031","LBLIGOHA_03628","IIFCLKFN_03544","BOFCGCOL_00542","KJABKPCK_03061","KLLDKJAP_00252","HHDJLLAI_02119","IFEKPJDH_02787"
"group_14560","","tRNA-Asn(gtt)","9","9","1","1","8637","","","","75","75","75","GOJPHPBD_03097","DEIPBNHI_03146","LBLIGOHA_01577","IIFCLKFN_02477","BOFCGCOL_02155","KJABKPCK_02658","KLLDKJAP_01736","HHDJLLAI_00282","IFEKPJDH_00797"
"glnA_1","","Glutamine synthetase","9","9","1","1","8607","","","","1430","1430","1430","GOJPHPBD_03126","DEIPBNHI_03107","LBLIGOHA_01548","IIFCLKFN_02506","BOFCGCOL_02126","KJABKPCK_02687","KLLDKJAP_01707","HHDJLLAI_00253","IFEKPJDH_00768"
"argA_2","","Amino-acid acetyltransferase","9","9","1","1","5047","","","","602","602","602","GOJPHPBD_04204","DEIPBNHI_06252","LBLIGOHA_05600","IIFCLKFN_04472","BOFCGCOL_04918","KJABKPCK_04432","KLLDKJAP_05587","HHDJLLAI_06677","IFEKPJDH_06427"
"ilvC_2","","Ketol-acid reductoisomerase (NADP(+))","9","9","1","1","494","","","","1031","1031","1031","GOJPHPBD_02288","DEIPBNHI_00868","LBLIGOHA_02623","IIFCLKFN_01326","BOFCGCOL_02393","KJABKPCK_02146","KLLDKJAP_02804","HHDJLLAI_00528","IFEKPJDH_03307"
"group_14564","","Ferredoxin","9","9","1","2","4212","","","","248","248","248","GOJPHPBD_08355","DEIPBNHI_09468","LBLIGOHA_08670","IIFCLKFN_08065","BOFCGCOL_08484","KJABKPCK_08373","KLLDKJAP_08221","HHDJLLAI_09609","IFEKPJDH_08546"
"group_14565","","hypothetical protein","9","9","1","1","9477","","","","170","170","170","GOJPHPBD_06589","DEIPBNHI_04437","LBLIGOHA_05739","IIFCLKFN_03799","BOFCGCOL_04573","KJABKPCK_06923","KLLDKJAP_03737","HHDJLLAI_04422","IFEKPJDH_04676"
"group_14566","","hypothetical protein","9","9","1","1","1623","","","","251","251","251","GOJPHPBD_01891","DEIPBNHI_00018","LBLIGOHA_00129","IIFCLKFN_01053","BOFCGCOL_02503","KJABKPCK_01526","KLLDKJAP_02112","HHDJLLAI_03292","IFEKPJDH_01683"
"qorA_1","","Quinone oxidoreductase 1","9","9","1","1","11752","","","","986","986","986","GOJPHPBD_01147","DEIPBNHI_00599","LBLIGOHA_02105","IIFCLKFN_00613","BOFCGCOL_01067","KJABKPCK_00833","KLLDKJAP_00637","HHDJLLAI_01119","IFEKPJDH_02513"
"group_14568","","tRNA-Ala(tgc)","9","9","1","1","9247","","","","75","75","75","GOJPHPBD_06732","DEIPBNHI_05269","LBLIGOHA_05258","IIFCLKFN_06184","BOFCGCOL_04730","KJABKPCK_05377","KLLDKJAP_03884","HHDJLLAI_04287","IFEKPJDH_04138"
"yiaJ_1","","DNA-binding transcriptional repressor YiaJ","9","9","1","1","7740","","","","749","749","749","GOJPHPBD_05526","DEIPBNHI_05470","LBLIGOHA_06971","IIFCLKFN_03609","BOFCGCOL_04273","KJABKPCK_03681","KLLDKJAP_05222","HHDJLLAI_06587","IFEKPJDH_05329"
"group_14570","","tRNA-Ser(tga)","9","9","1","1","11568","","","","89","89","89","GOJPHPBD_00989","DEIPBNHI_00441","LBLIGOHA_01947","IIFCLKFN_00453","BOFCGCOL_01225","KJABKPCK_00673","KLLDKJAP_02975","HHDJLLAI_02211","IFEKPJDH_00978"
"rplW_1","","50S ribosomal protein L23","9","9","1","1","2905","","","","302","302","302","GOJPHPBD_00863","DEIPBNHI_01952","LBLIGOHA_02947","IIFCLKFN_00106","BOFCGCOL_01563","KJABKPCK_00157","KLLDKJAP_01338","HHDJLLAI_01861","IFEKPJDH_00350"
"camP","","2,5-diketocamphane 1,2-monooxygenase","9","9","1","1","11672","","","","1007","1007","1007","GOJPHPBD_01074","DEIPBNHI_00526","LBLIGOHA_02032","IIFCLKFN_00540","BOFCGCOL_01140","KJABKPCK_00759","KLLDKJAP_00564","HHDJLLAI_01192","IFEKPJDH_02992"
"rodA_1","","putative FtsW-like protein","9","9","1","1","11829","","","","1391","1391","1391","GOJPHPBD_02716","DEIPBNHI_02657","LBLIGOHA_03530","IIFCLKFN_02814","BOFCGCOL_00395","KJABKPCK_03225","KLLDKJAP_00241","HHDJLLAI_02718","IFEKPJDH_00494"
"group_14574","","hypothetical protein","9","9","1","1","11507","","","","182","182","182","GOJPHPBD_00934","DEIPBNHI_02106","LBLIGOHA_01892","IIFCLKFN_00396","BOFCGCOL_01281","KJABKPCK_03013","KLLDKJAP_03031","HHDJLLAI_02155","IFEKPJDH_01056"
"rpsE_1","","30S ribosomal protein S5","9","9","1","1","2889","","","","689","689","689","GOJPHPBD_00879","DEIPBNHI_01936","LBLIGOHA_02963","IIFCLKFN_00122","BOFCGCOL_01579","KJABKPCK_00141","KLLDKJAP_01322","HHDJLLAI_01877","IFEKPJDH_00366"
"group_14576","","hypothetical protein","9","9","1","2","3304","","","","299","299","299","GOJPHPBD_08973","DEIPBNHI_10405","LBLIGOHA_07771","IIFCLKFN_07548","BOFCGCOL_09475","KJABKPCK_09003","KLLDKJAP_08730","HHDJLLAI_07748","IFEKPJDH_08102"
"gatC_1","","Glutamyl-tRNA(Gln) amidotransferase subunit C","9","9","1","1","481","","","","305","305","305","GOJPHPBD_02275","DEIPBNHI_00855","LBLIGOHA_02610","IIFCLKFN_01313","BOFCGCOL_02407","KJABKPCK_02159","KLLDKJAP_02817","HHDJLLAI_00541","IFEKPJDH_01173"
"group_14578","","Hydroxypyruvate reductase","9","9","1","1","1925","","","","1004","1004","1004","GOJPHPBD_03306","DEIPBNHI_01028","LBLIGOHA_01777","IIFCLKFN_02895","BOFCGCOL_00468","KJABKPCK_02262","KLLDKJAP_01505","HHDJLLAI_00114","IFEKPJDH_03150"
"glbO_1","","Group 2 truncated hemoglobin GlbO","9","9","1","1","11388","","","","440","440","440","GOJPHPBD_02565","DEIPBNHI_01317","LBLIGOHA_00525","IIFCLKFN_01569","BOFCGCOL_00764","KJABKPCK_01137","KLLDKJAP_00940","HHDJLLAI_01299","IFEKPJDH_02338"
"group_14580","","hypothetical protein","9","9","1","1","5466","","","","578","578","578","GOJPHPBD_06294","DEIPBNHI_07144","LBLIGOHA_05720","IIFCLKFN_06316","BOFCGCOL_06755","KJABKPCK_06848","KLLDKJAP_06412","HHDJLLAI_06960","IFEKPJDH_06010"
"group_14581","","Putative pre-16S rRNA nuclease","9","9","1","1","8592","","","","560","560","560","GOJPHPBD_03141","DEIPBNHI_03092","LBLIGOHA_01533","IIFCLKFN_02521","BOFCGCOL_02111","KJABKPCK_02702","KLLDKJAP_01692","HHDJLLAI_00238","IFEKPJDH_00282"
"atpD_1","","ATP synthase subunit beta","9","9","1","1","457","","","","1457","1457","1457","GOJPHPBD_02251","DEIPBNHI_00830","LBLIGOHA_02585","IIFCLKFN_01289","BOFCGCOL_02431","KJABKPCK_02182","KLLDKJAP_02841","HHDJLLAI_00565","IFEKPJDH_01149"
"clpP1_3","","ATP-dependent Clp protease proteolytic subunit 1","9","9","1","1","8055","","","","611","611","611","GOJPHPBD_03960","DEIPBNHI_05839","LBLIGOHA_06192","IIFCLKFN_04750","BOFCGCOL_05521","KJABKPCK_06947","KLLDKJAP_05452","HHDJLLAI_06212","IFEKPJDH_04459"
"group_14584","","hypothetical protein","9","9","1","1","5887","","","","374","374","374","GOJPHPBD_04528","DEIPBNHI_04185","LBLIGOHA_04849","IIFCLKFN_04663","BOFCGCOL_06225","KJABKPCK_05840","KLLDKJAP_05995","HHDJLLAI_04819","IFEKPJDH_06879"
"hiuH","","5-hydroxyisourate hydrolase","9","9","1","1","6468","","","","323","323","323","GOJPHPBD_06833","DEIPBNHI_06080","LBLIGOHA_03777","IIFCLKFN_04284","BOFCGCOL_05081","KJABKPCK_04606","KLLDKJAP_05751","HHDJLLAI_06843","IFEKPJDH_04844"
"rpsG_1","","30S ribosomal protein S7","9","9","1","1","2915","","","","470","470","470","GOJPHPBD_00853","DEIPBNHI_01962","LBLIGOHA_02937","IIFCLKFN_00096","BOFCGCOL_01553","KJABKPCK_00167","KLLDKJAP_01348","HHDJLLAI_01851","IFEKPJDH_00340"
"rplR_1","","50S ribosomal protein L18","9","9","1","1","2890","","","","386","386","386","GOJPHPBD_00878","DEIPBNHI_01937","LBLIGOHA_02962","IIFCLKFN_00121","BOFCGCOL_01578","KJABKPCK_00142","KLLDKJAP_01323","HHDJLLAI_01876","IFEKPJDH_00365"
"group_14588","","hypothetical protein","9","9","1","1","1405","","","","548","548","548","GOJPHPBD_03750","DEIPBNHI_02425","LBLIGOHA_03598","IIFCLKFN_02868","BOFCGCOL_03598","KJABKPCK_03544","KLLDKJAP_03242","HHDJLLAI_03576","IFEKPJDH_02815"
"group_14589","","hypothetical protein","9","9","1","1","10356","","","","467","467","467","GOJPHPBD_04953","DEIPBNHI_06396","LBLIGOHA_06391","IIFCLKFN_06545","BOFCGCOL_06480","KJABKPCK_04731","KLLDKJAP_05305","HHDJLLAI_03979","IFEKPJDH_05057"
"group_1459","","hypothetical protein","9","9","1","1","12058","","","","233","233","233","GOJPHPBD_00158","DEIPBNHI_02710","LBLIGOHA_03561","IIFCLKFN_02652","BOFCGCOL_02629","KJABKPCK_02963","KLLDKJAP_02283","HHDJLLAI_02672","IFEKPJDH_02068"
"ohrB_1","","Organic hydroperoxide resistance protein OhrB","9","9","1","1","1256","","","","422","422","422","GOJPHPBD_00030","DEIPBNHI_02911","LBLIGOHA_01312","IIFCLKFN_01448","BOFCGCOL_00660","KJABKPCK_00538","KLLDKJAP_00375","HHDJLLAI_00749","IFEKPJDH_02019"
"group_14591","","hypothetical protein","9","9","1","2","3541","","","","185","185","185","GOJPHPBD_09874","DEIPBNHI_09143","LBLIGOHA_10082","IIFCLKFN_09227","BOFCGCOL_09236","KJABKPCK_09394","KLLDKJAP_09379","HHDJLLAI_09242","IFEKPJDH_09772"
"rpsU","","30S ribosomal protein S21","9","9","1","2","4305","","","","170","170","170","GOJPHPBD_08440","DEIPBNHI_08912","LBLIGOHA_08753","IIFCLKFN_08148","BOFCGCOL_08399","KJABKPCK_08456","KLLDKJAP_08304","HHDJLLAI_09526","IFEKPJDH_08461"
"group_14593","","hypothetical protein","9","9","1","3","166","","","","371","371","371","GOJPHPBD_02094","DEIPBNHI_03337","LBLIGOHA_02720","IIFCLKFN_02146","BOFCGCOL_00711","KJABKPCK_00414","KLLDKJAP_00161","HHDJLLAI_03249","IFEKPJDH_03075"
"nrdR_1","","Transcriptional repressor NrdR","9","9","1","1","12284","","","","458","458","458","GOJPHPBD_02479","DEIPBNHI_01404","LBLIGOHA_00438","IIFCLKFN_01655","BOFCGCOL_00850","KJABKPCK_01051","KLLDKJAP_00853","HHDJLLAI_01386","IFEKPJDH_01419"
"sucD_1","","Succinate--CoA ligase [ADP-forming] subunit alpha","9","9","1","1","12123","","","","890","890","890","GOJPHPBD_01208","DEIPBNHI_01559","LBLIGOHA_00283","IIFCLKFN_01811","BOFCGCOL_01006","KJABKPCK_00896","KLLDKJAP_00699","HHDJLLAI_01541","IFEKPJDH_02574"
"rlmN_3","","putative dual-specificity RNA methyltransferase RlmN","9","9","1","2","3803","","","","1094","1094","1094","GOJPHPBD_09936","DEIPBNHI_10577","LBLIGOHA_08052","IIFCLKFN_09711","BOFCGCOL_08681","KJABKPCK_08096","KLLDKJAP_08866","HHDJLLAI_07467","IFEKPJDH_08901"
"gmk_2","","Guanylate kinase","9","9","1","1","5737","","","","563","563","563","GOJPHPBD_04647","DEIPBNHI_04070","LBLIGOHA_04968","IIFCLKFN_05135","BOFCGCOL_06108","KJABKPCK_05725","KLLDKJAP_04915","HHDJLLAI_04938","IFEKPJDH_06763"
"veg","","Protein Veg","9","9","1","5","15","","","","263","263","263","GOJPHPBD_08053","DEIPBNHI_09588","LBLIGOHA_09908","IIFCLKFN_08271","BOFCGCOL_09788","KJABKPCK_10067","KLLDKJAP_09621","HHDJLLAI_10045","IFEKPJDH_09828"
"pspA_2","","Phosphoserine phosphatase 1","9","9","1","3","157","","","","692","692","692","GOJPHPBD_02103","DEIPBNHI_03328","LBLIGOHA_02711","IIFCLKFN_02137","BOFCGCOL_00702","KJABKPCK_00423","KLLDKJAP_00170","HHDJLLAI_03258","IFEKPJDH_03084"
"oppD_4","","Oligopeptide transport ATP-binding protein OppD","9","9","1","1","225","","","","908","908","908","GOJPHPBD_02960","DEIPBNHI_02852","LBLIGOHA_01699","IIFCLKFN_02358","BOFCGCOL_02261","KJABKPCK_02550","KLLDKJAP_01846","HHDJLLAI_00404","IFEKPJDH_02290"
"hisA","","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","9","9","1","1","4421","","","","737","737","737","GOJPHPBD_04270","DEIPBNHI_04514","LBLIGOHA_04033","IIFCLKFN_05729","BOFCGCOL_05607","KJABKPCK_04095","KLLDKJAP_06622","HHDJLLAI_05190","IFEKPJDH_04387"
"group_14602","","hypothetical protein","9","9","1","1","2748","","","","335","335","335","GOJPHPBD_00403","DEIPBNHI_01708","LBLIGOHA_03544","IIFCLKFN_00679","BOFCGCOL_03264","KJABKPCK_01193","KLLDKJAP_03343","HHDJLLAI_02513","IFEKPJDH_00565"
"trmL_1","","tRNA (cytidine(34)-2'-O)-methyltransferase","9","9","1","1","8588","","","","467","467","467","GOJPHPBD_03146","DEIPBNHI_03087","LBLIGOHA_01528","IIFCLKFN_02526","BOFCGCOL_02106","KJABKPCK_02707","KLLDKJAP_01687","HHDJLLAI_00233","IFEKPJDH_00277"
"group_14604","","tRNA-Pro(cgg)","9","9","1","1","8282","","","","76","76","76","GOJPHPBD_03850","DEIPBNHI_03846","LBLIGOHA_06046","IIFCLKFN_07294","BOFCGCOL_06372","KJABKPCK_06230","KLLDKJAP_04815","HHDJLLAI_07039","IFEKPJDH_06532"
"group_14605","","putative ABC transporter ATP-binding protein","9","9","1","1","1508","","","","1763","1763","1763","GOJPHPBD_03533","DEIPBNHI_00303","LBLIGOHA_03330","IIFCLKFN_02680","BOFCGCOL_02603","KJABKPCK_02990","KLLDKJAP_02310","HHDJLLAI_02699","IFEKPJDH_01033"
"group_14606","","hypothetical protein","9","9","1","4","111","","","","353","353","353","GOJPHPBD_09701","DEIPBNHI_09714","LBLIGOHA_10243","IIFCLKFN_09957","BOFCGCOL_09999","KJABKPCK_09875","KLLDKJAP_10138","HHDJLLAI_10088","IFEKPJDH_09151"
"group_14607","","hypothetical protein","9","9","1","1","3602","","","","206","206","206","GOJPHPBD_03991","DEIPBNHI_05808","LBLIGOHA_06214","IIFCLKFN_04781","BOFCGCOL_05792","KJABKPCK_04970","KLLDKJAP_05430","HHDJLLAI_03625","IFEKPJDH_05777"
"ectB_2","","Diaminobutyrate--2-oxoglutarate transaminase","9","9","1","1","306","","","","1271","1271","1271","GOJPHPBD_03477","DEIPBNHI_01679","LBLIGOHA_03077","IIFCLKFN_03259","BOFCGCOL_03509","KJABKPCK_03148","KLLDKJAP_00009","HHDJLLAI_03516","IFEKPJDH_00034"
"group_14609","","putative HTH-type transcriptional regulator","9","9","1","1","1258","","","","368","368","368","GOJPHPBD_00032","DEIPBNHI_02913","LBLIGOHA_01310","IIFCLKFN_01450","BOFCGCOL_00658","KJABKPCK_00540","KLLDKJAP_00373","HHDJLLAI_00751","IFEKPJDH_02021"
"group_14610","","hypothetical protein","9","9","1","1","215","","","","1307","1307","1307","GOJPHPBD_02970","DEIPBNHI_02862","LBLIGOHA_01689","IIFCLKFN_02368","BOFCGCOL_02251","KJABKPCK_02560","KLLDKJAP_01836","HHDJLLAI_00394","IFEKPJDH_02280"
"ydbP","","Thioredoxin-like protein YdbP","9","9","1","2","3300","","","","320","320","320","GOJPHPBD_08977","DEIPBNHI_10401","LBLIGOHA_07767","IIFCLKFN_07552","BOFCGCOL_09479","KJABKPCK_08999","KLLDKJAP_08726","HHDJLLAI_07752","IFEKPJDH_08098"
"ilvH_1","","Putative acetolactate synthase small subunit","9","9","1","1","493","","","","569","569","569","GOJPHPBD_02287","DEIPBNHI_00867","LBLIGOHA_02622","IIFCLKFN_01325","BOFCGCOL_02394","KJABKPCK_02147","KLLDKJAP_02805","HHDJLLAI_00529","IFEKPJDH_03308"
"purR_3","","Pur operon repressor","9","9","1","5","17","","","","824","824","824","GOJPHPBD_08055","DEIPBNHI_09586","LBLIGOHA_09906","IIFCLKFN_08273","BOFCGCOL_09790","KJABKPCK_10065","KLLDKJAP_09619","HHDJLLAI_10047","IFEKPJDH_09826"
"purF_1","","Amidophosphoribosyltransferase","9","9","1","1","11807","","","","1511","1511","1511","GOJPHPBD_01195","DEIPBNHI_00647","LBLIGOHA_02153","IIFCLKFN_00661","BOFCGCOL_01019","KJABKPCK_00883","KLLDKJAP_00685","HHDJLLAI_01554","IFEKPJDH_02561"
"divIVA","","Septum site-determining protein DivIVA","9","9","1","2","3722","","","","617","617","617","GOJPHPBD_09909","DEIPBNHI_08302","LBLIGOHA_08024","IIFCLKFN_09739","BOFCGCOL_08653","KJABKPCK_08068","KLLDKJAP_08894","HHDJLLAI_07495","IFEKPJDH_08997"
"pdhD_2","","Dihydrolipoyl dehydrogenase","9","9","1","1","8600","","","","1403","1403","1403","GOJPHPBD_03133","DEIPBNHI_03100","LBLIGOHA_01541","IIFCLKFN_02513","BOFCGCOL_02119","KJABKPCK_02694","KLLDKJAP_01700","HHDJLLAI_00246","IFEKPJDH_00761"
"efp_1","","Elongation factor P","9","9","1","1","3495","","","","560","560","560","GOJPHPBD_03382","DEIPBNHI_02164","LBLIGOHA_00227","IIFCLKFN_00252","BOFCGCOL_01835","KJABKPCK_00084","KLLDKJAP_03399","HHDJLLAI_01688","IFEKPJDH_03567"
"group_14618","","hypothetical protein","9","9","1","1","1142","","","","539","539","539","GOJPHPBD_01447","DEIPBNHI_01643","LBLIGOHA_00080","IIFCLKFN_01849","BOFCGCOL_01752","KJABKPCK_00489","KLLDKJAP_00433","HHDJLLAI_02828","IFEKPJDH_01633"
"group_14619","","hypothetical protein","9","9","1","1","11285","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","203","203","203","GOJPHPBD_01576","DEIPBNHI_01226","LBLIGOHA_00616","IIFCLKFN_02056","BOFCGCOL_03288","KJABKPCK_02863","KLLDKJAP_01094","HHDJLLAI_01000","IFEKPJDH_01919"
"group_1462","","hypothetical protein","9","9","1","1","12047","","","","416","563","432","GOJPHPBD_00168","DEIPBNHI_02720","LBLIGOHA_03314","IIFCLKFN_02661","BOFCGCOL_02619","KJABKPCK_02973","KLLDKJAP_02292","HHDJLLAI_02682","IFEKPJDH_02244"
"ispG_2","","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)","9","9","1","1","4389","","","","1148","1148","1148","GOJPHPBD_04341","DEIPBNHI_04583","LBLIGOHA_04106","IIFCLKFN_05793","BOFCGCOL_05676","KJABKPCK_04164","KLLDKJAP_06684","HHDJLLAI_05257","IFEKPJDH_04316"
"uacT_1","","Uric acid transporter UacT","9","9","1","1","1106","","","","1931","1931","1931","GOJPHPBD_01484","DEIPBNHI_01607","LBLIGOHA_00044","IIFCLKFN_01885","BOFCGCOL_01788","KJABKPCK_00453","KLLDKJAP_00468","HHDJLLAI_02863","IFEKPJDH_00303"
"smpB_1","","SsrA-binding protein","9","9","1","3","186","","","","509","509","509","GOJPHPBD_02074","DEIPBNHI_03358","LBLIGOHA_02741","IIFCLKFN_02166","BOFCGCOL_00206","KJABKPCK_00394","KLLDKJAP_00140","HHDJLLAI_03228","IFEKPJDH_02089"
"group_14623","","hypothetical protein","9","9","1","1","9287","","","","173","173","173","GOJPHPBD_06701","DEIPBNHI_05297","LBLIGOHA_05228","IIFCLKFN_06153","BOFCGCOL_04694","KJABKPCK_06334","KLLDKJAP_03857","HHDJLLAI_04255","IFEKPJDH_04107"
"ftsE_1","","Cell division ATP-binding protein FtsE","9","9","1","3","189","","","","902","902","902","GOJPHPBD_02071","DEIPBNHI_03361","LBLIGOHA_02744","IIFCLKFN_02169","BOFCGCOL_00203","KJABKPCK_00391","KLLDKJAP_00137","HHDJLLAI_03225","IFEKPJDH_02086"
"era_4","","GTPase Era","9","9","1","2","4297","","","","899","899","899","GOJPHPBD_08432","DEIPBNHI_08920","LBLIGOHA_08745","IIFCLKFN_08140","BOFCGCOL_08407","KJABKPCK_08448","KLLDKJAP_08296","HHDJLLAI_09534","IFEKPJDH_08469"
"infA_2","","Translation initiation factor IF-1","9","9","1","1","7137","","","","221","221","221","GOJPHPBD_06058","DEIPBNHI_06542","LBLIGOHA_07064","IIFCLKFN_04969","BOFCGCOL_06697","KJABKPCK_04322","KLLDKJAP_06524","HHDJLLAI_05538","IFEKPJDH_07247"
"upp_3","","Uracil phosphoribosyltransferase","9","9","1","4","86","","","","629","629","629","GOJPHPBD_09725","DEIPBNHI_10258","LBLIGOHA_10266","IIFCLKFN_09934","BOFCGCOL_10022","KJABKPCK_09852","KLLDKJAP_10162","HHDJLLAI_10196","IFEKPJDH_09174"
"group_14628","","hypothetical protein","9","9","1","1","2446","","","","572","572","572","GOJPHPBD_01336","DEIPBNHI_02382","LBLIGOHA_02254","IIFCLKFN_03032","BOFCGCOL_02014","KJABKPCK_01329","KLLDKJAP_02649","HHDJLLAI_01716","IFEKPJDH_00927"
