"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Brachy_341_9.fa","Brachy_738_10.fa","Brachy_862_8.fa","Brachy_876_9.fa","Brachy_900_8.fa","Brachy_908_11.fa","Brachy_947_11.fa","Brachy_962_10.fa","Brachy_JB7.fa"
"group_3553","","hypothetical protein","9","9","1","1","328","","","","392","392","392","HAJKDPKL_01797","JOIMIODL_00086","FOMIDEFL_00830","AGBMBALL_01103","LJFCBDKD_00058","DPNJBGPE_01578","DNNBHHGK_02011","MCMEOHNO_00016","NGPGJBKC_03418"
"group_3554","","putative protein","9","9","1","1","4500","","","","1040","1040","1040","HAJKDPKL_02772","JOIMIODL_01121","FOMIDEFL_00934","AGBMBALL_03124","LJFCBDKD_00223","DPNJBGPE_01763","DNNBHHGK_02450","MCMEOHNO_02568","NGPGJBKC_01777"
"group_3555","","Ferredoxin","9","9","1","1","2998","","","","329","329","329","HAJKDPKL_02491","JOIMIODL_01349","FOMIDEFL_00474","AGBMBALL_01589","LJFCBDKD_00797","DPNJBGPE_01080","DNNBHHGK_00882","MCMEOHNO_01329","NGPGJBKC_00212"
"group_3556","","Bifunctional NMN adenylyltransferase/Nudix hydrolase","9","9","1","1","4424","","","","473","473","473","HAJKDPKL_03698","JOIMIODL_02400","FOMIDEFL_03551","AGBMBALL_02825","LJFCBDKD_03540","DPNJBGPE_03485","DNNBHHGK_03198","MCMEOHNO_03502","NGPGJBKC_02756"
"group_3557","","hypothetical protein","9","9","1","1","1930","","","","449","449","449","HAJKDPKL_00191","JOIMIODL_02439","FOMIDEFL_02391","AGBMBALL_01209","LJFCBDKD_02982","DPNJBGPE_01844","DNNBHHGK_01252","MCMEOHNO_02086","NGPGJBKC_02360"
"group_3558","","Universal stress protein","9","9","1","1","1699","","","","383","383","383","HAJKDPKL_03451","JOIMIODL_01679","FOMIDEFL_03023","AGBMBALL_03230","LJFCBDKD_03474","DPNJBGPE_03127","DNNBHHGK_03304","MCMEOHNO_03419","NGPGJBKC_00885"
"dnaJ2","","Chaperone protein DnaJ 2","9","9","1","1","3498","","","","1130","1130","1130","HAJKDPKL_02992","JOIMIODL_03184","FOMIDEFL_01612","AGBMBALL_02393","LJFCBDKD_02160","DPNJBGPE_02592","DNNBHHGK_01748","MCMEOHNO_00329","NGPGJBKC_00813"
"sphR","","Alkaline phosphatase synthesis transcriptional regulatory protein SphR","9","9","1","1","4128","","","","734","734","734","HAJKDPKL_00020","JOIMIODL_02862","FOMIDEFL_01310","AGBMBALL_01420","LJFCBDKD_00660","DPNJBGPE_00522","DNNBHHGK_00379","MCMEOHNO_00732","NGPGJBKC_01969"
"group_3560","","hypothetical protein","9","9","1","1","2702","","","","245","245","245","HAJKDPKL_01103","JOIMIODL_00567","FOMIDEFL_02056","AGBMBALL_00577","LJFCBDKD_01078","DPNJBGPE_00796","DNNBHHGK_00601","MCMEOHNO_01136","NGPGJBKC_02431"
"ntdC","","Glucose-6-phosphate 3-dehydrogenase","9","9","1","1","257","","","","1199","1199","1199","HAJKDPKL_01859","JOIMIODL_00024","FOMIDEFL_00134","AGBMBALL_01041","LJFCBDKD_02464","DPNJBGPE_01516","DNNBHHGK_02073","MCMEOHNO_03248","NGPGJBKC_01642"
"rpsR2","","30S ribosomal protein S18 2","9","9","1","1","4523","","","","236","236","236","HAJKDPKL_02796","JOIMIODL_01099","FOMIDEFL_00912","AGBMBALL_03147","LJFCBDKD_02646","DPNJBGPE_03087","DNNBHHGK_02474","MCMEOHNO_01906","NGPGJBKC_00160"
"group_3563","","tRNA-Met(cat)","9","9","1","1","1778","","","","74","74","74","HAJKDPKL_02702","JOIMIODL_02600","FOMIDEFL_02981","AGBMBALL_00273","LJFCBDKD_02819","DPNJBGPE_03289","DNNBHHGK_03464","MCMEOHNO_02884","NGPGJBKC_02772"
"carD_1","","RNA polymerase-binding transcription factor CarD","9","9","1","1","2812","","","","482","482","482","HAJKDPKL_01208","JOIMIODL_01526","FOMIDEFL_00297","AGBMBALL_01765","LJFCBDKD_00973","DPNJBGPE_00903","DNNBHHGK_00706","MCMEOHNO_01506","NGPGJBKC_02736"
"group_3565","","hypothetical protein","9","9","1","2","58","","","","1337","1337","1337","HAJKDPKL_01955","JOIMIODL_03405","FOMIDEFL_02801","AGBMBALL_02229","LJFCBDKD_00114","DPNJBGPE_00296","DNNBHHGK_00047","MCMEOHNO_02435","NGPGJBKC_01298"
"sdhA","","Succinate dehydrogenase flavoprotein subunit","9","9","1","2","50","","","","1775","1775","1775","HAJKDPKL_01947","JOIMIODL_03413","FOMIDEFL_02809","AGBMBALL_02237","LJFCBDKD_00106","DPNJBGPE_00288","DNNBHHGK_00039","MCMEOHNO_02443","NGPGJBKC_01306"
"pdhD_2","","Dihydrolipoyl dehydrogenase","9","9","1","1","3587","","","","1403","1403","1403","HAJKDPKL_03094","JOIMIODL_03060","FOMIDEFL_01526","AGBMBALL_02478","LJFCBDKD_02087","DPNJBGPE_02666","DNNBHHGK_01674","MCMEOHNO_00243","NGPGJBKC_00739"
"group_3568","","hypothetical protein","9","9","1","1","251","","","","251","251","251","HAJKDPKL_01865","JOIMIODL_00018","FOMIDEFL_00128","AGBMBALL_01035","LJFCBDKD_02470","DPNJBGPE_01510","DNNBHHGK_02079","MCMEOHNO_03242","NGPGJBKC_01648"
"ppsR","","Phosphoenolpyruvate synthase regulatory protein","9","9","1","1","4498","","","","875","875","875","HAJKDPKL_02770","JOIMIODL_01123","FOMIDEFL_00936","AGBMBALL_03122","LJFCBDKD_00225","DPNJBGPE_01761","DNNBHHGK_02448","MCMEOHNO_02566","NGPGJBKC_01779"
"yxlF_1","","putative ABC transporter ATP-binding protein YxlF","9","9","1","1","4129","","","","920","920","920","HAJKDPKL_00021","JOIMIODL_02863","FOMIDEFL_01309","AGBMBALL_01421","LJFCBDKD_00658","DPNJBGPE_00523","DNNBHHGK_00378","MCMEOHNO_00733","NGPGJBKC_01970"
"sufT","","Fe-S protein maturation auxiliary factor SufT","9","9","1","1","927","","","","332","332","332","HAJKDPKL_01274","JOIMIODL_02395","FOMIDEFL_02271","AGBMBALL_03033","LJFCBDKD_02023","DPNJBGPE_01355","DNNBHHGK_02646","MCMEOHNO_01739","NGPGJBKC_02684"
"tyrA","","T-protein","9","9","1","1","2843","","","","344","344","344","HAJKDPKL_01239","JOIMIODL_01495","FOMIDEFL_00328","AGBMBALL_01734","LJFCBDKD_00942","DPNJBGPE_00934","DNNBHHGK_00737","MCMEOHNO_01475","NGPGJBKC_01050"
"priA_2","","Phosphoribosyl isomerase A","9","9","1","1","738","","","","734","734","734","HAJKDPKL_02153","JOIMIODL_02244","FOMIDEFL_03316","AGBMBALL_03069","LJFCBDKD_03336","DPNJBGPE_02422","DNNBHHGK_02133","MCMEOHNO_02978","NGPGJBKC_03279"
"ppnK","","NAD kinase","9","9","1","1","822","","","","944","944","944","HAJKDPKL_01381","JOIMIODL_02288","FOMIDEFL_02164","AGBMBALL_02926","LJFCBDKD_01916","DPNJBGPE_01248","DNNBHHGK_02539","MCMEOHNO_02623","NGPGJBKC_00727"
"group_3574","","tRNA-Phe(gaa)","9","9","1","1","1934","","","","73","73","73","HAJKDPKL_00195","JOIMIODL_02443","FOMIDEFL_02395","AGBMBALL_01205","LJFCBDKD_02978","DPNJBGPE_01848","DNNBHHGK_01248","MCMEOHNO_02082","NGPGJBKC_02364"
"xylA_2","","Xylose isomerase","9","9","1","1","242","","","","1178","1178","1178","HAJKDPKL_01874","JOIMIODL_00009","FOMIDEFL_00119","AGBMBALL_01026","LJFCBDKD_02479","DPNJBGPE_01501","DNNBHHGK_02088","MCMEOHNO_03233","NGPGJBKC_01657"
"ugpQ_2","","Glycerophosphodiester phosphodiesterase, cytoplasmic","9","9","1","1","419","","","","770","770","770","HAJKDPKL_01718","JOIMIODL_00168","FOMIDEFL_01036","AGBMBALL_01961","LJFCBDKD_00297","DPNJBGPE_01657","DNNBHHGK_01525","MCMEOHNO_01084","NGPGJBKC_02579"
"yqjG","","Glutathionyl-hydroquinone reductase YqjG","9","9","1","1","921","","","","1079","1079","1079","HAJKDPKL_01280","JOIMIODL_02389","FOMIDEFL_02265","AGBMBALL_03027","LJFCBDKD_02017","DPNJBGPE_01349","DNNBHHGK_02640","MCMEOHNO_01733","NGPGJBKC_02690"
"deoR_1","","Deoxyribonucleoside regulator","9","9","1","1","299","","","","959","959","959","HAJKDPKL_01824","JOIMIODL_00059","FOMIDEFL_00803","AGBMBALL_01076","LJFCBDKD_00031","DPNJBGPE_01551","DNNBHHGK_02038","MCMEOHNO_00043","NGPGJBKC_00985"
"ppc","","Phosphoenolpyruvate carboxylase","9","9","1","1","2603","","","","2828","2828","2828","HAJKDPKL_01009","JOIMIODL_00474","FOMIDEFL_01963","AGBMBALL_00482","LJFCBDKD_01172","DPNJBGPE_00701","DNNBHHGK_02895","MCMEOHNO_02223","NGPGJBKC_02878"
"group_358","","hypothetical protein","9","9","1","1","4135","","","","509","509","509","HAJKDPKL_00027","JOIMIODL_02869","FOMIDEFL_01303","AGBMBALL_01427","LJFCBDKD_00652","DPNJBGPE_00529","DNNBHHGK_00372","MCMEOHNO_00739","NGPGJBKC_01976"
"sugC","","Trehalose import ATP-binding protein SugC","9","9","1","1","3195","","","","1085","1085","1085","HAJKDPKL_01575","JOIMIODL_01191","FOMIDEFL_00632","AGBMBALL_02004","LJFCBDKD_03127","DPNJBGPE_02854","DNNBHHGK_01869","MCMEOHNO_00971","NGPGJBKC_01858"
"nhaK","","Sodium, potassium, lithium and rubidium/H(+) antiporter","9","9","1","1","3451","","","","1703","1703","1703","HAJKDPKL_02946","JOIMIODL_02835","FOMIDEFL_01658","AGBMBALL_02347","LJFCBDKD_02206","DPNJBGPE_02546","DNNBHHGK_01794","MCMEOHNO_00375","NGPGJBKC_02217"
"oppF_3","","Oligopeptide transport ATP-binding protein OppF","9","9","1","1","3430","","","","830","830","830","HAJKDPKL_02925","JOIMIODL_02814","FOMIDEFL_01679","AGBMBALL_02326","LJFCBDKD_02227","DPNJBGPE_02525","DNNBHHGK_01815","MCMEOHNO_00396","NGPGJBKC_02238"
"sugB_6","","Trehalose transport system permease protein SugB","9","9","1","1","2267","","","","884","884","884","HAJKDPKL_02600","JOIMIODL_02668","FOMIDEFL_03018","AGBMBALL_03487","LJFCBDKD_03526","DPNJBGPE_03350","DNNBHHGK_03400","MCMEOHNO_03258","NGPGJBKC_00043"
"rbsC_2","","Ribose import permease protein RbsC","9","9","1","1","1290","","","","1019","1019","1019","HAJKDPKL_00616","JOIMIODL_00728","FOMIDEFL_01367","AGBMBALL_00948","LJFCBDKD_01347","DPNJBGPE_02323","DNNBHHGK_02388","MCMEOHNO_02271","NGPGJBKC_00583"
"rplN","","50S ribosomal protein L14","9","9","1","1","1534","","","","368","368","368","HAJKDPKL_00858","JOIMIODL_01922","FOMIDEFL_02920","AGBMBALL_00112","LJFCBDKD_01543","DPNJBGPE_00146","DNNBHHGK_01312","MCMEOHNO_01849","NGPGJBKC_00350"
"group_3586","","hypothetical protein","9","9","1","1","928","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","1310","1310","1310","HAJKDPKL_03691","JOIMIODL_02396","FOMIDEFL_02985","AGBMBALL_02818","LJFCBDKD_03384","DPNJBGPE_03470","DNNBHHGK_03481","MCMEOHNO_03418","NGPGJBKC_02683"
"metQ_1","","D-methionine-binding lipoprotein MetQ","9","9","1","1","3990","","","","854","854","854","HAJKDPKL_01490","JOIMIODL_01564","FOMIDEFL_00015","AGBMBALL_01887","LJFCBDKD_01785","DPNJBGPE_01815","DNNBHHGK_00491","MCMEOHNO_02854","NGPGJBKC_03452"
"group_3588","ccpA_3","Catabolite control protein A","9","9","1","1","3445","","","","1115","1115","1115","HAJKDPKL_02940","JOIMIODL_02829","FOMIDEFL_01664","AGBMBALL_02341","LJFCBDKD_02212","DPNJBGPE_02540","DNNBHHGK_01800","MCMEOHNO_00381","NGPGJBKC_02223"
"nrdH","","Glutaredoxin-like protein NrdH","9","9","1","1","1696","","","","245","245","245","HAJKDPKL_03448","JOIMIODL_01676","FOMIDEFL_03026","AGBMBALL_03227","LJFCBDKD_03471","DPNJBGPE_03124","DNNBHHGK_03307","MCMEOHNO_03422","NGPGJBKC_00888"
"group_359","","hypothetical protein","9","9","1","1","4136","","","","536","536","536","HAJKDPKL_00028","JOIMIODL_02870","FOMIDEFL_01302","AGBMBALL_01428","LJFCBDKD_00651","DPNJBGPE_00530","DNNBHHGK_00371","MCMEOHNO_00740","NGPGJBKC_01977"
"carA","","Carbamoyl-phosphate synthase small chain","9","9","1","1","3752","","","","1244","1244","1244","HAJKDPKL_03334","JOIMIODL_02144","FOMIDEFL_00217","AGBMBALL_00242","LJFCBDKD_01809","DPNJBGPE_00077","DNNBHHGK_03353","MCMEOHNO_01665","NGPGJBKC_03491"
"rplR","","50S ribosomal protein L18","9","9","1","1","1528","","","","386","386","386","HAJKDPKL_00864","JOIMIODL_01916","FOMIDEFL_02926","AGBMBALL_00118","LJFCBDKD_01549","DPNJBGPE_00140","DNNBHHGK_01306","MCMEOHNO_01855","NGPGJBKC_00356"
"tyrS","","Tyrosine--tRNA ligase","9","9","1","1","713","","","","1268","1268","1268","HAJKDPKL_02176","JOIMIODL_02221","FOMIDEFL_03293","AGBMBALL_03045","LJFCBDKD_03312","DPNJBGPE_02394","DNNBHHGK_02157","MCMEOHNO_03001","NGPGJBKC_03303"
"ohrB_1","","Organic hydroperoxide resistance protein OhrB","9","9","1","1","4138","","","","422","422","422","HAJKDPKL_00030","JOIMIODL_02872","FOMIDEFL_01300","AGBMBALL_01430","LJFCBDKD_00649","DPNJBGPE_00532","DNNBHHGK_00369","MCMEOHNO_00742","NGPGJBKC_01979"
"group_3594","","putative protein","9","9","1","1","2893","","","","302","302","302","HAJKDPKL_02393","JOIMIODL_01447","FOMIDEFL_00376","AGBMBALL_01687","LJFCBDKD_00895","DPNJBGPE_00982","DNNBHHGK_00784","MCMEOHNO_01427","NGPGJBKC_00651"
"rpsG","","30S ribosomal protein S7","9","9","1","1","1553","","","","470","470","470","HAJKDPKL_00839","JOIMIODL_01941","FOMIDEFL_02901","AGBMBALL_00093","LJFCBDKD_01524","DPNJBGPE_00165","DNNBHHGK_01331","MCMEOHNO_01830","NGPGJBKC_00331"
"uacT","","Uric acid transporter UacT","9","9","1","1","4020","","","","1931","1931","1931","HAJKDPKL_01461","JOIMIODL_01593","FOMIDEFL_00044","AGBMBALL_01857","LJFCBDKD_01756","DPNJBGPE_00448","DNNBHHGK_00461","MCMEOHNO_02825","NGPGJBKC_00296"
"group_3597","","hypothetical protein","9","9","1","1","4423","","","","203","203","203","HAJKDPKL_03697","JOIMIODL_02399","FOMIDEFL_03550","AGBMBALL_02826","LJFCBDKD_03541","DPNJBGPE_03486","DNNBHHGK_03197","MCMEOHNO_03503","NGPGJBKC_02755"
"ppk2B","","Polyphosphate kinase PPK2B","9","9","1","1","1573","","","","905","905","905","HAJKDPKL_00819","JOIMIODL_01961","FOMIDEFL_02881","AGBMBALL_00074","LJFCBDKD_01504","DPNJBGPE_00185","DNNBHHGK_01351","MCMEOHNO_01810","NGPGJBKC_00311"
"devR","","DNA-binding transcriptional activator DevR/DosR","9","9","1","1","3342","","","","632","632","632","HAJKDPKL_02300","JOIMIODL_00908","FOMIDEFL_00736","AGBMBALL_01350","LJFCBDKD_02319","DPNJBGPE_02084","DNNBHHGK_02721","MCMEOHNO_00482","NGPGJBKC_03199"
"group_360","","hypothetical protein","9","9","1","1","4142","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","572","2657","2393","HAJKDPKL_00034","JOIMIODL_02876","FOMIDEFL_01296","AGBMBALL_01434","LJFCBDKD_00645","DPNJBGPE_00536","DNNBHHGK_00365","MCMEOHNO_00746","NGPGJBKC_02010"
"upp","","Uracil phosphoribosyltransferase","9","9","1","1","4001","","","","638","638","638","HAJKDPKL_01479","JOIMIODL_01575","FOMIDEFL_00026","AGBMBALL_01876","LJFCBDKD_01774","DPNJBGPE_01804","DNNBHHGK_00480","MCMEOHNO_02843","NGPGJBKC_03463"
"gpr_2","","L-glyceraldehyde 3-phosphate reductase","9","9","1","1","2242","","","","1004","1004","1004","HAJKDPKL_00173","JOIMIODL_02690","FOMIDEFL_03276","AGBMBALL_02634","LJFCBDKD_02577","DPNJBGPE_02948","DNNBHHGK_02261","MCMEOHNO_02659","NGPGJBKC_03501"
"group_3602","","hypothetical protein","9","9","1","1","1657","","","","137","137","137","HAJKDPKL_00757","JOIMIODL_02023","FOMIDEFL_01799","AGBMBALL_00011","LJFCBDKD_01441","DPNJBGPE_00247","DNNBHHGK_01413","MCMEOHNO_01748","NGPGJBKC_02101"
"group_3603","","hypothetical protein","9","9","1","1","3539","","","","1271","1271","1271","HAJKDPKL_03056","JOIMIODL_03107","FOMIDEFL_01564","AGBMBALL_02440","LJFCBDKD_02125","DPNJBGPE_02628","DNNBHHGK_01712","MCMEOHNO_00281","NGPGJBKC_00777"
"carD_2","","RNA polymerase-binding transcription factor CarD","9","9","1","1","2828","","","","548","548","548","HAJKDPKL_01223","JOIMIODL_01511","FOMIDEFL_00312","AGBMBALL_01750","LJFCBDKD_00958","DPNJBGPE_00918","DNNBHHGK_00721","MCMEOHNO_01491","NGPGJBKC_02751"
"phzF","","Trans-2,3-dihydro-3-hydroxyanthranilate isomerase","9","9","1","1","356","","","","881","881","881","HAJKDPKL_01769","JOIMIODL_00114","FOMIDEFL_01089","AGBMBALL_01911","LJFCBDKD_00246","DPNJBGPE_01606","DNNBHHGK_01983","MCMEOHNO_01032","NGPGJBKC_01194"
"thrB_2","","Homoserine kinase","9","9","1","1","3239","","","","914","914","914","HAJKDPKL_02203","JOIMIODL_00799","FOMIDEFL_02536","AGBMBALL_01249","LJFCBDKD_02418","DPNJBGPE_02182","DNNBHHGK_02818","MCMEOHNO_00579","NGPGJBKC_01105"
"coaD","","Phosphopantetheine adenylyltransferase","9","9","1","1","3338","","","","491","491","491","HAJKDPKL_02296","JOIMIODL_00894","FOMIDEFL_00740","AGBMBALL_01346","LJFCBDKD_02323","DPNJBGPE_02088","DNNBHHGK_02725","MCMEOHNO_00486","NGPGJBKC_03203"
"group_3608","nagC_1","N-acetylglucosamine repressor","9","9","1","1","2470","","","","1145","1145","1145","HAJKDPKL_02645","JOIMIODL_00288","FOMIDEFL_02615","AGBMBALL_02740","LJFCBDKD_00425","DPNJBGPE_03150","DNNBHHGK_00203","MCMEOHNO_02721","NGPGJBKC_00631"
"group_3609","","hypothetical protein","9","9","1","1","1795","","","","278","278","278","HAJKDPKL_02714","JOIMIODL_02587","FOMIDEFL_03209","AGBMBALL_00286","LJFCBDKD_02832","DPNJBGPE_01996","DNNBHHGK_03451","MCMEOHNO_02897","NGPGJBKC_01406"
"yecS_2","","L-cystine transport system permease protein YecS","9","9","1","1","4143","","","","1169","1172","1171","HAJKDPKL_00035","JOIMIODL_02877","FOMIDEFL_01295","AGBMBALL_01435","LJFCBDKD_00644","DPNJBGPE_00537","DNNBHHGK_00364","MCMEOHNO_00747","NGPGJBKC_00491"
"ssb1","","Single-stranded DNA-binding protein 1","9","9","1","1","3211","","","","488","488","488","HAJKDPKL_02177","JOIMIODL_00767","FOMIDEFL_02510","AGBMBALL_01223","LJFCBDKD_02444","DPNJBGPE_02208","DNNBHHGK_02844","MCMEOHNO_00605","NGPGJBKC_01079"
"argH","","Argininosuccinate lyase","9","9","1","1","714","","","","1505","1505","1505","HAJKDPKL_02175","JOIMIODL_02222","FOMIDEFL_03294","AGBMBALL_03046","LJFCBDKD_03313","DPNJBGPE_02395","DNNBHHGK_02156","MCMEOHNO_03000","NGPGJBKC_03302"
"group_3612","","hypothetical protein","9","9","1","1","3755","","","","326","326","326","HAJKDPKL_03331","JOIMIODL_02147","FOMIDEFL_00214","AGBMBALL_00239","LJFCBDKD_01812","DPNJBGPE_00074","DNNBHHGK_03356","MCMEOHNO_01662","NGPGJBKC_03488"
"iolS_1","","Aldo-keto reductase IolS","9","9","1","1","4134","","","","980","980","980","HAJKDPKL_00026","JOIMIODL_02868","FOMIDEFL_01304","AGBMBALL_01426","LJFCBDKD_00653","DPNJBGPE_00528","DNNBHHGK_00373","MCMEOHNO_00738","NGPGJBKC_01975"
"folE","","GTP cyclohydrolase 1","9","9","1","1","2189","","","","566","566","566","HAJKDPKL_01583","JOIMIODL_01183","FOMIDEFL_00640","AGBMBALL_01996","LJFCBDKD_03119","DPNJBGPE_02863","DNNBHHGK_01877","MCMEOHNO_00963","NGPGJBKC_01850"
"rplE","","50S ribosomal protein L5","9","9","1","1","1532","","","","572","572","572","HAJKDPKL_00860","JOIMIODL_01920","FOMIDEFL_02922","AGBMBALL_00114","LJFCBDKD_01545","DPNJBGPE_00144","DNNBHHGK_01310","MCMEOHNO_01851","NGPGJBKC_00352"
"gatC","","Glutamyl-tRNA(Gln) amidotransferase subunit C","9","9","1","1","3285","","","","305","305","305","HAJKDPKL_02247","JOIMIODL_00843","FOMIDEFL_02580","AGBMBALL_01293","LJFCBDKD_02374","DPNJBGPE_02137","DNNBHHGK_02774","MCMEOHNO_00535","NGPGJBKC_01149"
"group_3617","","Universal stress protein","9","9","1","1","372","","","","413","413","413","HAJKDPKL_01764","JOIMIODL_00119","FOMIDEFL_01084","AGBMBALL_01916","LJFCBDKD_00251","DPNJBGPE_01611","DNNBHHGK_01978","MCMEOHNO_01037","NGPGJBKC_01178"
"group_3618","","hypothetical protein","9","9","1","1","3601","","","","584","584","584","HAJKDPKL_03109","JOIMIODL_03045","FOMIDEFL_01511","AGBMBALL_02493","LJFCBDKD_02072","DPNJBGPE_02681","DNNBHHGK_01659","MCMEOHNO_00228","NGPGJBKC_00269"
"group_3619","","hypothetical protein","9","9","1","1","186","","","","167","167","167","HAJKDPKL_03526","JOIMIODL_00338","FOMIDEFL_03128","AGBMBALL_02682","LJFCBDKD_02530","DPNJBGPE_01454","DNNBHHGK_02309","MCMEOHNO_03318","NGPGJBKC_02335"
"tcyC","","L-cystine import ATP-binding protein TcyC","9","9","1","1","4144","","","","1151","1154","1151","HAJKDPKL_00036","JOIMIODL_02878","FOMIDEFL_01294","AGBMBALL_01436","LJFCBDKD_00643","DPNJBGPE_00538","DNNBHHGK_00363","MCMEOHNO_00748","NGPGJBKC_00492"
"crp","","CRP-like cAMP-activated global transcriptional regulator","9","9","1","1","1878","","","","677","677","677","HAJKDPKL_00295","JOIMIODL_02543","FOMIDEFL_00247","AGBMBALL_00335","LJFCBDKD_02879","DPNJBGPE_01948","DNNBHHGK_01148","MCMEOHNO_01982","NGPGJBKC_01574"
"glnB","","Nitrogen regulatory protein P-II","9","9","1","1","2880","","","","338","338","338","HAJKDPKL_02381","JOIMIODL_01459","FOMIDEFL_00364","AGBMBALL_01699","LJFCBDKD_00908","DPNJBGPE_00969","DNNBHHGK_00772","MCMEOHNO_01439","NGPGJBKC_00663"
"ctaC","","Cytochrome c oxidase subunit 2","9","9","1","1","871","","","","881","881","881","HAJKDPKL_01329","JOIMIODL_02340","FOMIDEFL_02216","AGBMBALL_02978","LJFCBDKD_01968","DPNJBGPE_01300","DNNBHHGK_02591","MCMEOHNO_01684","NGPGJBKC_00918"
"group_3623","","hypothetical protein","9","9","1","1","3325","","","","590","590","590","HAJKDPKL_02283","JOIMIODL_00881","FOMIDEFL_00753","AGBMBALL_01333","LJFCBDKD_02336","DPNJBGPE_02101","DNNBHHGK_02738","MCMEOHNO_00499","NGPGJBKC_03216"
"group_3624","","hypothetical protein","9","9","1","1","885","","","","572","572","572","HAJKDPKL_01315","JOIMIODL_02354","FOMIDEFL_02230","AGBMBALL_02992","LJFCBDKD_01982","DPNJBGPE_01314","DNNBHHGK_02605","MCMEOHNO_01698","NGPGJBKC_00904"
"group_3625","","hypothetical protein","9","9","1","1","4132","","","","176","176","176","HAJKDPKL_00024","JOIMIODL_02866","FOMIDEFL_01306","AGBMBALL_01424","LJFCBDKD_00655","DPNJBGPE_00526","DNNBHHGK_00375","MCMEOHNO_00736","NGPGJBKC_01973"
"lldR","","Putative L-lactate dehydrogenase operon regulatory protein","9","9","1","1","2598","","","","791","791","791","HAJKDPKL_01004","JOIMIODL_00469","FOMIDEFL_01958","AGBMBALL_00477","LJFCBDKD_01177","DPNJBGPE_00696","DNNBHHGK_02900","MCMEOHNO_02218","NGPGJBKC_02873"
"group_3627","","hypothetical protein","9","9","1","1","374","","","","1637","1637","1637","HAJKDPKL_01762","JOIMIODL_00121","FOMIDEFL_01082","AGBMBALL_01918","LJFCBDKD_00253","DPNJBGPE_01613","DNNBHHGK_01976","MCMEOHNO_01039","NGPGJBKC_01176"
"allR_1","","HTH-type transcriptional repressor AllR","9","9","1","1","1692","","","","773","773","773","HAJKDPKL_03444","JOIMIODL_01672","FOMIDEFL_03030","AGBMBALL_03223","LJFCBDKD_03467","DPNJBGPE_03120","DNNBHHGK_03311","MCMEOHNO_03426","NGPGJBKC_00892"
"rsmG","","Ribosomal RNA small subunit methyltransferase G","9","9","1","1","4549","","","","665","665","665","HAJKDPKL_02821","JOIMIODL_01075","FOMIDEFL_00888","AGBMBALL_03171","LJFCBDKD_02670","DPNJBGPE_03062","DNNBHHGK_02498","MCMEOHNO_01928","NGPGJBKC_00400"
"group_363","","hypothetical protein","9","9","1","1","4149","","","","515","515","515","HAJKDPKL_00041","JOIMIODL_02883","FOMIDEFL_01289","AGBMBALL_01441","LJFCBDKD_00638","DPNJBGPE_00543","DNNBHHGK_00358","MCMEOHNO_00753","NGPGJBKC_00497"
"ccpA_7","","Catabolite control protein A","9","9","1","1","2294","","","","995","995","995","HAJKDPKL_02618","JOIMIODL_02649","FOMIDEFL_03576","AGBMBALL_03088","LJFCBDKD_03362","DPNJBGPE_03313","DNNBHHGK_03333","MCMEOHNO_02635","NGPGJBKC_01593"
"group_3631","","hypothetical protein","9","9","1","1","274","","","","248","248","248","HAJKDPKL_01847","JOIMIODL_00036","FOMIDEFL_00780","AGBMBALL_01053","LJFCBDKD_00007","DPNJBGPE_01528","DNNBHHGK_02061","MCMEOHNO_00066","NGPGJBKC_01630"
"gsiD_3","","Glutathione transport system permease protein GsiD","9","9","1","1","4321","","","","890","890","890","HAJKDPKL_01658","JOIMIODL_03611","FOMIDEFL_01172","AGBMBALL_02591","LJFCBDKD_01641","DPNJBGPE_01402","DNNBHHGK_03181","MCMEOHNO_00867","NGPGJBKC_03469"
"nimR_1","","HTH-type transcriptional regulator NimR","9","9","1","1","491","","","","788","788","788","HAJKDPKL_03578","JOIMIODL_00226","FOMIDEFL_00983","AGBMBALL_00760","LJFCBDKD_00353","DPNJBGPE_01712","DNNBHHGK_01581","MCMEOHNO_03028","NGPGJBKC_03338"
"pspA_1","","Phosphoserine phosphatase 1","9","9","1","1","3360","","","","653","653","653","HAJKDPKL_02316","JOIMIODL_00924","FOMIDEFL_00720","AGBMBALL_01366","LJFCBDKD_02303","DPNJBGPE_02068","DNNBHHGK_02705","MCMEOHNO_00466","NGPGJBKC_01436"
"group_3635","","putative protein","9","9","1","1","3582","","","","740","740","740","HAJKDPKL_03089","JOIMIODL_03065","FOMIDEFL_01531","AGBMBALL_02473","LJFCBDKD_02092","DPNJBGPE_02661","DNNBHHGK_01679","MCMEOHNO_00248","NGPGJBKC_00744"
