Function	Enzyme_EC	KO	gene	gene2	gene3
 D-alanine--poly(phosphoribitol) ligase subunit 2 	6.1.1.13	K14188	dltC		
 D-alanine--poly(phosphoribitol) ligase subunit 2 	6.1.1.13	K14188	dltC		
 D-alanine--poly(phosphoribitol) ligase subunit 2 	6.1.1.13	K14188	dltC		
 D-alanine--poly(phosphoribitol) ligase subunit 2 	6.1.1.13	K14188	dltC		
 D-alanine--poly(phosphoribitol) ligase subunit 2 	6.1.1.13	K14188	dltC		
 D-alanine transfer protein		K03740	dltD		
 D-alanine transfer protein		K03740	dltD		
 D-alanine transfer protein		K03740	dltD		
 D-alanine transfer protein		K03740	dltD		
 uncharacterized oxidoreductase 	1.-.-.-	K14189	dltE		
 homeobox protein DLX1/4/6		K09314	DLX1_4_6		
 homeobox protein DLX2		K18488	DLX2		
 homeobox protein DLX3		K09315	DLX3		
 homeobox protein DLX5		K18489	DLX5		
 homeobox protein DLX5		K18489	DLX5		
 DNA methyltransferase 1-associated protein 1		K11324	DMAP1	SWC4	
 3''-deamino-3''-oxonicotianamine reductase 	1.1.1.285	K22374	DMAS1		
 deleted in malignant brain tumors 1 protein		K13912	DMBT1		
 meiotic recombination protein DMC1		K10872	DMC1		
 meiotic recombination protein DMC1		K10872	DMC1		
 dystrophin		K10366	DMD		
 dystrophin		K10366	DMD		
 dystrophin		K10366	DMD		
 dystrophin		K10366	DMD		
 dystrophin		K10366	DMD		
 dimethylamine/trimethylamine dehydrogenase 	1.5.8.1 1.5.8.2	K00317	dmd-tmd		
 dimethylsulfoniopropionate demethylase 	2.1.1.269	K17486	dmdA		
 dimethylmaleate hydratase large subunit 	4.2.1.85	K20452	dmdA		
 3-(methylthio)propionyl---CoA ligase 	6.2.1.44	K20034	dmdB		
 dimethylmaleate hydratase small subunit 	4.2.1.85	K20453	dmdB		
 3-(methylthio)propanoyl-CoA dehydrogenase 	1.3.8.-	K20035	dmdC		CD178
 (methylthio)acryloyl-CoA hydratase 	4.2.1.155	K20036	dmdD		CD178
 dimethylglycine dehydrogenase 	1.5.8.4	K00315	DMGDH		CD178
 2,3-dimethylmalate lyase 	4.1.3.32	K20454	dml		CD178
 LysR family transcriptional regulator, transcriptional activator for dmlA		K16135	dmlR		CD178
 dimethylamine monooxygenase subunit A 	1.14.13.238	K22342	dmmA		CD178
 dimethylamine monooxygenase subunit B 	1.14.13.238	K22343	dmmB		CD178
 dimethylamine monooxygenase subunit C 	1.14.13.238	K22344	dmmC		CD178
 desmuslin		K10376	DMN		CD178
 dimethyl-sulfide monooxygenase 	1.14.13.131	K16967	dmoA		CD178
 5'-deoxynucleotidase 	3.1.3.89	K21510	dmp		CD178
 D-aminopeptidase 	3.4.11.19	K01266	dmpA	dap	CD178
 catechol 2,3-dioxygenase 	1.13.11.2	K00446	dmpB	xylE	CD178
 catechol 2,3-dioxygenase 	1.13.11.2	K00446	dmpB	xylE	CD178
 catechol 2,3-dioxygenase 	1.13.11.2	K00446	dmpB	xylE	CD178
 catechol 2,3-dioxygenase 	1.13.11.2	K00446	dmpB	xylE	CD178
 aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase 	1.2.1.32 1.2.1.85	K10217	dmpC	xylG	CD178
 aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase 	1.2.1.32 1.2.1.85	K10217	dmpC	xylG	CD178
 aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase 	1.2.1.32 1.2.1.85	K10217	dmpC	xylG	CD178
 2-hydroxymuconate-semialdehyde hydrolase 	3.7.1.9	K10216	dmpD	xylF	CD178
 2-hydroxymuconate-semialdehyde hydrolase 	3.7.1.9	K10216	dmpD	xylF	CD178
 2-hydroxymuconate-semialdehyde hydrolase 	3.7.1.9	K10216	dmpD	xylF	CD178
 2-oxo-3-hexenedioate decarboxylase 	4.1.1.77	K01617	dmpH	xylI	CD178
 2-oxo-3-hexenedioate decarboxylase 	4.1.1.77	K01617	dmpH	xylI	CD178
 2-oxo-3-hexenedioate decarboxylase 	4.1.1.77	K01617	dmpH	xylI	CD178
 dystrophia myotonica-protein kinase 	2.7.11.1	K08788	DMPK		CD178
 phenol hydroxylase P0 protein		K16249	dmpK	poxA	CD178
 phenol hydroxylase P0 protein		K16249	dmpK	poxA	CD178
 phenol hydroxylase P0 protein		K16249	dmpK	poxA	CD178
 Phenol hydroxylase P1 protein		K16243	dmpL	poxC	CD95
 Phenol hydroxylase P1 protein		K16243	dmpL	poxC	CD95
 Phenol hydroxylase P1 protein		K16243	dmpL	poxC	CD95
 O-demethylpuromycin O-methyltransferase 	2.1.1.38	K12635	dmpM		CD95
 phenol hydroxylase P2 protein		K16244	dmpM	poxB	CD95
 phenol hydroxylase P2 protein		K16244	dmpM	poxB	CD95
 phenol hydroxylase P2 protein		K16244	dmpM	poxB	CD95
 phenol hydroxylase P3 protein 	1.14.13.-	K16242	dmpN	poxD	CD95
 phenol hydroxylase P3 protein 	1.14.13.-	K16242	dmpN	poxD	CD95
 phenol hydroxylase P3 protein 	1.14.13.-	K16242	dmpN	poxD	CD95
 phenol hydroxylase P4 protein		K16245	dmpO	poxE	CD95
 phenol hydroxylase P4 protein		K16245	dmpO	poxE	CD95
 phenol hydroxylase P4 protein		K16245	dmpO	poxE	CD95
 phenol hydroxylase P5 protein		K16246	dmpP	poxF	CD95
 phenol hydroxylase P5 protein		K16246	dmpP	poxF	CD95
 phenol hydroxylase P5 protein		K16246	dmpP	poxF	CD95
 dihydromethanopterin reductase 	1.5.1.47	K17364	dmrA		CD95
 doublesex- and mab-3-related transcription factor 1		K19488	DMRT1		CD95
 doublesex- and mab-3-related transcription factor 2		K19489	DMRT2		CD95
 doublesex- and mab-3-related transcription factor 3		K19490	DMRT3		CD95
 doublesex- and mab-3-related transcription factor 4/5		K19491	DMRT4_5	DMRTA	CD95
 doublesex- and mab-3-related transcription factor 6		K19492	DMRT6	DMRTB	CD95
 doublesex- and mab-3-related transcription factor 7		K19493	DMRT7	DMRTC2	CD95
 doublesex- and mab-3-related transcription factor 8		K19494	DMRT8	DMRTC1	CD95
 dihydromethanopterin reductase (acceptor) 	1.5.99.15	K18853	dmrX		CD95
 anaerobic dimethyl sulfoxide reductase subunit A 	1.8.5.3	K07306	dmsA		CD95
 anaerobic dimethyl sulfoxide reductase subunit A 	1.8.5.3	K07306	dmsA		CD95
 anaerobic dimethyl sulfoxide reductase subunit B (DMSO reductase iron- sulfur subunit)		K07307	dmsB		CD95
 anaerobic dimethyl sulfoxide reductase subunit B (DMSO reductase iron- sulfur subunit)		K07307	dmsB		
 anaerobic dimethyl sulfoxide reductase subunit C (DMSO reductase anchor subunit)		K07308	dmsC		
 anaerobic dimethyl sulfoxide reductase subunit C (DMSO reductase anchor subunit)		K07308	dmsC		
 methyltransferase 	2.1.1.-	K21507	dmt		
 cyclin-D-binding Myb-like transcription factor 1		K21625	DMTF1	DMP1	
 DNA replication ATP-dependent helicase Dna2 	3.6.4.12	K10742	DNA2		
 DNA replication ATP-dependent helicase Dna2 	3.6.4.12	K10742	DNA2		
 chromosomal replication initiator protein		K02313	dnaA		
 chromosomal replication initiator protein		K02313	dnaA		
 chromosomal replication initiator protein		K02313	dnaA		
 chromosomal replication initiator protein		K02313	dnaA		
 dynein assembly factor 1, axonemal		K19750	DNAAF1	LRRC50	
 dynein assembly factor 2, axonemal		K19751	DNAAF2	KTU	
 dynein assembly factor 3, axonemal		K19752	DNAAF3	PF22	
 dynein assembly factor 5, axonemal		K19759	DNAAF5		
 replicative DNA helicase 	3.6.4.12	K02314	dnaB		
 replicative DNA helicase 	3.6.4.12	K02314	dnaB		
 replicative DNA helicase 	3.6.4.12	K02314	dnaB		
 replication initiation and membrane attachment protein		K03346	dnaB		
 DNA replication protein DnaC		K02315	dnaC		
 DNA replication protein		K02086	dnaD		
 DNA polymerase III subunit alpha 	2.7.7.7	K02337	dnaE		
 DNA polymerase III subunit alpha 	2.7.7.7	K02337	dnaE		
 DNA polymerase III subunit alpha 	2.7.7.7	K02337	dnaE		
 DNA polymerase III subunit alpha 	2.7.7.7	K02337	dnaE		
 DNA polymerase III subunit alpha 	2.7.7.7	K02337	dnaE		
 DNA polymerase III subunit alpha 	2.7.7.7	K02337	dnaE		
 DNA polymerase III subunit alpha 	2.7.7.7	K02337	dnaE		
 error-prone DNA polymerase 	2.7.7.7	K14162	dnaE2		
 DNA primase 	2.7.7.-	K02316	dnaG		
 DNA primase 	2.7.7.-	K02316	dnaG		
 dynein heavy chain, axonemal		K10408	DNAH		
 dynein heavy chain, axonemal		K10408	DNAH		
 primosomal protein DnaI		K11144	dnaI		
 dynein intermediate chain 1, axonemal		K10409	DNAI1		
 dynein intermediate chain 1, axonemal		K10409	DNAI1		
 dynein intermediate chain 2, axonemal		K11143	DNAI2		
 dynein intermediate chain 2, axonemal		K11143	DNAI2		
 molecular chaperone DnaJ		K03686	dnaJ		
 molecular chaperone DnaJ		K03686	dnaJ		
 DnaJ homolog subfamily A member 1		K09502	DNAJA1		
 DnaJ homolog subfamily A member 1		K09502	DNAJA1		
 DnaJ homolog subfamily A member 1		K09502	DNAJA1		
 DnaJ homolog subfamily A member 2		K09503	DNAJA2		
 DnaJ homolog subfamily A member 2		K09503	DNAJA2		
 DnaJ homolog subfamily A member 2		K09503	DNAJA2		
 DnaJ homolog subfamily A member 3		K09504	DNAJA3		
 DnaJ homolog subfamily A member 3		K09504	DNAJA3		
 DnaJ homolog subfamily A member 3		K09504	DNAJA3		
 DnaJ homolog subfamily A member 4		K09505	DNAJA4		
 DnaJ homolog subfamily A member 5		K09506	DNAJA5		
 DnaJ homolog subfamily A member 5		K09506	DNAJA5		
 DnaJ homolog subfamily B member 1		K09507	DNAJB1		
 DnaJ homolog subfamily B member 1		K09507	DNAJB1		
 DnaJ homolog subfamily B member 1		K09507	DNAJB1		
 DnaJ homolog subfamily B member 11		K09517	DNAJB11		
 DnaJ homolog subfamily B member 11		K09517	DNAJB11		
 DnaJ homolog subfamily B member 12		K09518	DNAJB12		
 DnaJ homolog subfamily B member 12		K09518	DNAJB12		
 DnaJ homolog subfamily B member 13		K09519	DNAJB13		
 DnaJ homolog subfamily B member 14		K09520	DNAJB14		
 DnaJ homolog subfamily B member 2		K09508	DNAJB2		
 DnaJ homolog subfamily B member 2		K09508	DNAJB2		
 DnaJ homolog subfamily B member 3		K09509	DNAJB3		
 DnaJ homolog subfamily B member 4		K09510	DNAJB4		
 DnaJ homolog subfamily B member 5		K09511	DNAJB5		
 DnaJ homolog subfamily B member 6		K09512	DNAJB6		
 DnaJ homolog subfamily B member 7		K09513	DNAJB7		
 DnaJ homolog subfamily B member 8		K09514	DNAJB8		
 DnaJ homolog subfamily B member 9		K09515	DNAJB9		
 DnaJ homolog subfamily C member 1		K09521	DNAJC1		
 DnaJ homolog subfamily C member 1		K09521	DNAJC1		
 DnaJ homolog subfamily C member 10		K09530	DNAJC10		
 DnaJ homolog subfamily C member 10		K09530	DNAJC10		
 DnaJ homolog subfamily C member 10		K09530	DNAJC10		
 DnaJ homolog subfamily C member 11		K09531	DNAJC11		
 DnaJ homolog subfamily C member 12		K09532	DNAJC12		
 DnaJ homolog subfamily C member 13		K09533	DNAJC13		
 DnaJ homolog subfamily C member 13		K09533	DNAJC13		
 DnaJ homolog subfamily C member 14		K09534	DNAJC14		
 DnaJ homolog subfamily C member 15		K09535	DNAJC15		
 DnaJ homolog subfamily C member 16		K09536	DNAJC16		
 DnaJ homolog subfamily C member 17		K09537	DNAJC17		
 DnaJ homolog subfamily C member 18		K09538	DNAJC18		
 DnaJ homolog subfamily C member 19		K09539	DNAJC19		
 DnaJ homolog subfamily C member 19		K09539	DNAJC19		
 DnaJ homolog subfamily C member 2		K09522	DNAJC2		
 DnaJ homolog subfamily C member 22		K19370	DNAJC22		
 DnaJ homolog subfamily C member 25		K19371	DNAJC25		
 DnaJ homolog subfamily C member 27		K19372	DNAJC27		
 DnaJ homolog subfamily C member 28		K19373	DNAJC28		
 DnaJ homolog subfamily C member 3		K09523	DNAJC3		
 DnaJ homolog subfamily C member 3		K09523	DNAJC3		
 DnaJ homolog subfamily C member 3		K09523	DNAJC3		
 DnaJ homolog subfamily C member 30		K19374	DNAJC30		
 DnaJ homolog subfamily C member 4		K09524	DNAJC4		
 DnaJ homolog subfamily C member 5		K09525	DNAJC5		
 DnaJ homolog subfamily C member 5		K09525	DNAJC5		
 DnaJ homolog subfamily C member 6		K09526	DNAJC6		
 DnaJ homolog subfamily C member 6		K09526	DNAJC6		
 DnaJ homolog subfamily C member 6		K09526	DNAJC6		
 DnaJ homolog subfamily C member 6		K09526	DNAJC6		
 DnaJ homolog subfamily C member 7		K09527	DNAJC7		
 DnaJ homolog subfamily C member 8		K09528	DNAJC8		
 DnaJ homolog subfamily C member 8		K09528	DNAJC8		
 DnaJ homolog subfamily C member 9		K09529	DNAJC9		
 molecular chaperone DnaK		K04043	dnaK	HSPA9	
 molecular chaperone DnaK		K04043	dnaK	HSPA9	
 molecular chaperone DnaK		K04043	dnaK	HSPA9	
 molecular chaperone DnaK		K04043	dnaK	HSPA9	
 molecular chaperone DnaK		K04043	dnaK	HSPA9	
 molecular chaperone DnaK		K04043	dnaK	HSPA9	
 molecular chaperone DnaK		K04043	dnaK	HSPA9	
 dynein light chain 1, axonemal		K10411	DNAL1		
 dynein light chain 1, axonemal		K10411	DNAL1		
 dynein light chain 4, axonemal		K10412	DNAL4		
 dynein light chain 4, axonemal		K10412	DNAL4		
 dynein light intermediate chain, axonemal		K10410	DNALI		
 dynein light intermediate chain, axonemal		K10410	DNALI		
 DNA polymerase III subunit beta 	2.7.7.7	K02338	dnaN		
 DNA polymerase III subunit beta 	2.7.7.7	K02338	dnaN		
 DNA polymerase III subunit beta 	2.7.7.7	K02338	dnaN		
 DNA polymerase III subunit beta 	2.7.7.7	K02338	dnaN		
 DNA polymerase III subunit beta 	2.7.7.7	K02338	dnaN		
 DNA polymerase III subunit beta 	2.7.7.7	K02338	dnaN		
 DNA polymerase III subunit beta 	2.7.7.7	K02338	dnaN		
 DNA polymerase III subunit epsilon 	2.7.7.7	K02342	dnaQ		
 DNA polymerase III subunit epsilon 	2.7.7.7	K02342	dnaQ		
 DNA polymerase III subunit epsilon 	2.7.7.7	K02342	dnaQ		
 DNA polymerase III subunit epsilon 	2.7.7.7	K02342	dnaQ		
 DNA polymerase III subunit epsilon 	2.7.7.7	K02342	dnaQ		
 DNA polymerase III subunit epsilon 	2.7.7.7	K02342	dnaQ		
 DNA polymerase III subunit epsilon 	2.7.7.7	K02342	dnaQ		
 deoxyribonuclease-1 	3.1.21.1	K11994	DNASE1		
 deoxyribonuclease-1-like protein 	3.1.21.-	K11995	DNASE1L		
 deoxyribonuclease II 	3.1.22.1	K01158	DNASE2		
 DNA replication protein DnaT		K02317	dnaT		
 DNA replication protein DnaT		K02317	dnaT		
 DNA polymerase III subunit gamma/tau 	2.7.7.7	K02343	dnaX		
 DNA polymerase III subunit gamma/tau 	2.7.7.7	K02343	dnaX		
 DNA polymerase III subunit gamma/tau 	2.7.7.7	K02343	dnaX		
 DNA polymerase III subunit gamma/tau 	2.7.7.7	K02343	dnaX		
 DNA polymerase III subunit gamma/tau 	2.7.7.7	K02343	dnaX		
 DNA polymerase III subunit gamma/tau 	2.7.7.7	K02343	dnaX		
 DNA polymerase III subunit gamma/tau 	2.7.7.7	K02343	dnaX		
 DNA sulfur modification protein DndB		K19169	dndB		
 DNA sulfur modification protein DndC		K19170	dndC		
 DNA sulfur modification protein DndD		K19171	dndD		
 DNA sulfur modification protein DndE		K19172	dndE		
 2,4-dinitroanisole O-demethylase 	3.3.2.14	K20837	dnhA_B		
 deoxynucleoside kinase 	2.7.1.145	K05961	dnk		
 deoxynucleoside-5'-monophosphate kinase 	2.7.4.13	K21500	dnk		
 dynamin GTPase 	3.6.5.5	K01528	DNM		
 dynamin GTPase 	3.6.5.5	K01528	DNM		
 dynamin GTPase 	3.6.5.5	K01528	DNM		
 dynamin GTPase 	3.6.5.5	K01528	DNM		
 dynamin GTPase 	3.6.5.5	K01528	DNM		
 dynamin GTPase 	3.6.5.5	K01528	DNM		
 dynamin GTPase 	3.6.5.5	K01528	DNM		
 dynamin 1-like protein 	3.6.5.5	K17065	DNM1L		
 dynamin 1-like protein 	3.6.5.5	K17065	DNM1L		
 dynamin 1-like protein 	3.6.5.5	K17065	DNM1L		
 dynamin 1-like protein 	3.6.5.5	K17065	DNM1L		
 dynamin 1-like protein 	3.6.5.5	K17065	DNM1L		
 dynamin 1-like protein 	3.6.5.5	K17065	DNM1L		
 dynamin 1-like protein 	3.6.5.5	K17065	DNM1L		
 dynamin 1-like protein 	3.6.5.5	K17065	DNM1L		
 dynamin-binding protein		K20705	DNMBP	ARHGEF36	
 DNA (cytosine-5)-methyltransferase 1 	2.1.1.37	K00558	DNMT1	dcm	
 DNA (cytosine-5)-methyltransferase 1 	2.1.1.37	K00558	DNMT1	dcm	
 DNA (cytosine-5)-methyltransferase 1 	2.1.1.37	K00558	DNMT1	dcm	
 DNA (cytosine-5)-methyltransferase 1 	2.1.1.37	K00558	DNMT1	dcm	
 DNA (cytosine-5)-methyltransferase 1 	2.1.1.37	K00558	DNMT1	dcm	
 DNA (cytosine-5)-methyltransferase 3A 	2.1.1.37	K17398	DNMT3A		
 DNA (cytosine-5)-methyltransferase 3A 	2.1.1.37	K17398	DNMT3A		
 DNA (cytosine-5)-methyltransferase 3A 	2.1.1.37	K17398	DNMT3A		
 DNA (cytosine-5)-methyltransferase 3A 	2.1.1.37	K17398	DNMT3A		
 DNA (cytosine-5)-methyltransferase 3B 	2.1.1.37	K17399	DNMT3B		
 DNA (cytosine-5)-methyltransferase 3B 	2.1.1.37	K17399	DNMT3B		
 DNA (cytosine-5)-methyltransferase 3B 	2.1.1.37	K17399	DNMT3B		
 DNA (cytosine-5)-methyltransferase 3B 	2.1.1.37	K17399	DNMT3B		
 DNA (cytosine-5)-methyltransferase 3-like		K17400	DNMT3L		
 aspartyl aminopeptidase 	3.4.11.21	K01267	DNPEP		
 aspartyl aminopeptidase 	3.4.11.21	K01267	DNPEP		
 2'-deoxynucleoside 5'-phosphate N-hydrolase 	3.2.2.-	K22928	DNPH1		
 CRP/FNR family transcriptional regulator, dissimilatory nitrate respiration regulator		K21563	dnr		
 aklavinone 12-hydroxylase 	1.14.13.180	K15950	dnrF	rdmE	
 carminomycin 4-O-methyltransferase 	2.1.1.292	K15954	dnrK	dauK	
 10-carbomethoxy-13-deoxycarminomycin esterase		K15953	dnrP	dauP	
 glycosyltransferase auxiliary protein		K15952	dnrQ		
 glycosyltransferase 	2.4.1.-	K15951	dnrS		
 daunorubicin C-13 ketoreductase		K15956	dnrU		
 4-methyl-5-nitrocatechol 5-monooxygenase 	1.14.13.210	K21683	dntB		
 DNA nucleotidylexotransferase 	2.7.7.31	K00977	DNTT		
 DNA nucleotidylexotransferase 	2.7.7.31	K00977	DNTT		
 DNA nucleotidylexotransferase 	2.7.7.31	K00977	DNTT		
 deoxynucleotidyltransferase terminal-interacting protein 1		K08707	DNTTIP1		
 death on curing protein		K07341	doc		
 double C2-like domain-containing protein alpha		K19916	DOC2A		
 double C2-like domain-containing protein beta		K19917	DOC2B		
 double C2-like domain-containing protein gamma		K19918	DOC2G		
 dedicator of cytokinesis protein 1		K13708	DOCK1		
 dedicator of cytokinesis protein 1		K13708	DOCK1		
 dedicator of cytokinesis protein 1		K13708	DOCK1		
 dedicator of cytokinesis protein 1		K13708	DOCK1		
 dedicator of cytokinesis protein 1		K13708	DOCK1		
 dedicator of cytokinesis protein 2		K12367	DOCK2		
 dedicator of cytokinesis protein 2		K12367	DOCK2		
 dedicator of cytokinesis protein 2		K12367	DOCK2		
 dedicator of cytokinesis protein 3		K05727	DOCK3		
 dedicator of cytokinesis protein 4		K17697	DOCK4		
 dedicator of cytokinesis protein 4		K17697	DOCK4		
 dedicator of cytokinesis protein 4		K17697	DOCK4		
 dedicator of cytokinesis protein 5		K17707	DOCK5		
 dedicator of cytokinesis protein 6/7/8		K21852	DOCK6_7_8		
 dedicator of cytokinesis protein 9/10/11		K21853	DOCK9_10_11		
 ectoine hydrolase 	3.5.4.44	K15783	doeA		
 N2-acetyl-L-2,4-diaminobutanoate deacetylase 	3.5.1.125	K15784	doeB		
 aspartate-semialdehyde dehydrogenase 	1.2.1.-	K15786	doeC		
 L-2,4-diaminobutyrate transaminase 	2.6.1.76	K15785	doeD		
 Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes		K15782	doeX		
 deoxyhypusine monooxygenase 	1.14.99.29	K06072	DOHH		
 docking protein 1		K14752	DOK1		
 docking protein 2		K20234	DOK2		
 cytokine receptor domeless		K19599	DOME		
 protein downstream neighbor of Son		K22422	DONSON		
 Pup amidohydrolase 	3.5.1.119	K20814	dop		
 4,5-DOPA dioxygenase extradiol 	1.13.11.-	K15777	DOPA		
 2,5-dioxopentanoate dehydrogenase 	1.2.1.26	K19588	dopDH		
 2,5-dioxopentanoate dehydrogenase 	1.2.1.26	K19588	dopDH		
 dopamine/ecdysteroid receptor		K22919	DopEcR		
 c-di-GMP-specific phosphodiesterase 	3.1.4.52	K13243	dos		
 protein daughter of sevenless		K20231	DOS		
 histone-lysine N-methyltransferase, H3 lysine-79 specific 	2.1.1.43	K11427	DOT1L	DOT1	
 histone-lysine N-methyltransferase, H3 lysine-79 specific 	2.1.1.43	K11427	DOT1L	DOT1	
 histone-lysine N-methyltransferase, H3 lysine-79 specific 	2.1.1.43	K11427	DOT1L	DOT1	
 defect in organelle trafficking protein DotA		K12202	dotA		
 defect in organelle trafficking protein DotB		K12203	dotB	traJ	
 defect in organelle trafficking protein DotC		K12204	dotC	traI	
 defect in organelle trafficking protein DotD		K12205	dotD	traH	
 alpha-dioxygenase 	1.-.-.-	K10529	DOX1		
 drimenol monooxygenase 	1.14.14.72	K22691	DOX1		
 thiosulfate dehydrogenase 	quinone small subunit 	K16936	doxA		
 13-deoxydaunorubicin hydroxylase 	1.14.13.181	K15955	doxA	CYP129A	
 13-deoxydaunorubicin hydroxylase 	1.14.13.181	K15955	doxA	CYP129A	
 heme bearing subunit I of the terminal oxidase		K16933	doxB		
 terminal oxidase subunit		K16934	doxC		
 thiosulfate dehydrogenase 	quinone large subunit 	K16937	doxD		
 terminal oxidase small hydrophobic subunit		K16935	doxE		
 DNA replication regulator DPB11		K03507	DPB11		
 protein DPCD		K20800	DPCD		
 D-proline dehydrogenase 	1.5.99.13	K17851	dpd		
 D-psicose/D-tagatose/L-ribulose 3-epimerase 	5.1.3.30 5.1.3.31	K18910	dpe	lre	
 membrane dipeptidase 	3.4.13.19	K01273	DPEP		
 membrane dipeptidase 	3.4.13.19	K01273	DPEP		
 membrane dipeptidase 	3.4.13.19	K01273	DPEP		
 zinc finger protein ubi-d4		K13196	DPF2	REQ	
 3,5-dihydroxyphenylacetyl-CoA synthase 	2.3.1.246	K16424	dpgA		
 isomerase DpgB		K16425	dpgB		
 (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase 	1.13.11.80	K16427	dpgC		
 dehydration protein DpgD		K16426	dpgD		
 2-(3-amino-3-carboxypropyl)histidine synthase 	2.5.1.108	K07561	DPH1	dph2	
 diphthamide biosynthesis protein 2		K17866	DPH2		
 diphthamide biosynthesis protein 3		K15455	DPH3	KTI11	
 diphthamide biosynthesis protein 3		K15455	DPH3	KTI11	
 diphthamide biosynthesis protein 4		K17867	DPH4	DNAJC24	
 diphthine methyl ester synthase 	2.1.1.314	K00586	DPH5		
 diphthine synthase 	2.1.1.98	K20215	dph5		
 diphthine-ammonia ligase 	6.3.1.14	K06927	DPH6		
 diphthine methyl ester acylhydrolase 	3.1.1.97	K17868	DPH7	RRT2	
 two-component system, CitB family, response regulator CitB		K07702	dpiA	citB	
 two-component system, CitB family, response regulator CitB		K07702	dpiA	citB	
 two-component system, CitB family, cit operon sensor histidine kinase CitA 	2.7.13.3	K07700	dpiB	citA	
 two-component system, CitB family, cit operon sensor histidine kinase CitA 	2.7.13.3	K07700	dpiB	citA	
 two-component system, CitB family, cit operon sensor histidine kinase CitA 	2.7.13.3	K07700	dpiB	citA	
 delta1-piperideine-2-carboxylate reductase 	1.5.1.21	K13609	dpkA	lhpD	
 delta1-piperideine-2-carboxylate reductase 	1.5.1.21	K13609	dpkA	lhpD	
 dolichol-phosphate mannosyltransferase 	2.4.1.83	K00721	DPM1		
 dolichol-phosphate mannosyltransferase 	2.4.1.83	K00721	DPM1		
 dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit		K09658	DPM2		
 dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit		K09658	DPM2		
 dolichyl-phosphate mannosyltransferase polypeptide 3		K09659	DPM3		
 DNA polymerase bacteriophage-type 	2.7.7.7	K02334	dpo		
 diacylglycerol diphosphate phosphatase / phosphatidate phosphatase 	3.1.3.81 3.1.3.4	K18693	DPP1	DPPL	
 diacylglycerol diphosphate phosphatase / phosphatidate phosphatase 	3.1.3.81 3.1.3.4	K18693	DPP1	DPPL	
 dipeptidyl-peptidase III 	3.4.14.4	K01277	DPP3		
 dipeptidyl-peptidase 4 	3.4.14.5	K01278	DPP4	CD26	
 dipeptidyl-peptidase 4 	3.4.14.5	K01278	DPP4	CD26	
 dipeptidyl-peptidase 4 	3.4.14.5	K01278	DPP4	CD26	
 dipeptidyl-peptidase 4 	3.4.14.5	K01278	DPP4	CD26	
 dipeptidyl-peptidase II 	3.4.14.2	K01276	DPP7		
 dipeptidyl-peptidase 8 	3.4.14.5	K08655	DPP8		
 dipeptidyl-peptidase 9 	3.4.14.5	K08656	DPP9		
 dipeptide transport system substrate-binding protein		K12368	dppA		
 dipeptide transport system substrate-binding protein		K12368	dppA		
 dipeptide transport system substrate-binding protein		K12368	dppA		
 D-amino peptidase 	3.4.11.-	K16203	dppA1		
 dipeptide transport system permease protein		K12369	dppB		
 dipeptide transport system permease protein		K12369	dppB		
 dipeptide transport system permease protein		K16200	dppB1		
 dipeptide transport system permease protein		K16200	dppB1		
 dipeptide transport system permease protein		K12370	dppC		
 dipeptide transport system permease protein		K12370	dppC		
 dipeptide transport system permease protein		K16201	dppC		
 dipeptide transport system permease protein		K16201	dppC		
 dipeptide transport system ATP-binding protein		K12371	dppD		
 dipeptide transport system ATP-binding protein		K12371	dppD		
 dipeptide transport system ATP-binding protein		K16202	dppD		
 dipeptide transport system ATP-binding protein		K16202	dppD		
 dipeptide transport system substrate-binding protein		K16199	dppE		
 dipeptide transport system substrate-binding protein		K16199	dppE		
 dipeptide transport system ATP-binding protein		K12372	dppF		
 dipeptide transport system ATP-binding protein		K12372	dppF		
 decaprenylphospho-beta-D-ribofuranose 2-oxidase 	1.1.98.3	K16653	dprE1		
 decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase 	1.1.1.333	K16652	dprE2		
 starvation-inducible DNA-binding protein		K04047	dps		
 diptericin		K20669	DPT		
 diptericin		K20669	DPT		
 DNA phosphorothioation-dependent restriction protein DptF		K19173	dptF		
 DNA phosphorothioation-dependent restriction protein DptG		K19174	dptG		
 DNA phosphorothioation-dependent restriction protein DptH		K19175	dptH		
 protein dpy-30		K14965	DPY30		
 dihydropyrimidine dehydrogenase (NADP+) 	1.3.1.2	K00207	DPYD		
 dihydropyrimidine dehydrogenase (NADP+) 	1.3.1.2	K00207	DPYD		
 dihydropyrimidine dehydrogenase (NADP+) 	1.3.1.2	K00207	DPYD		
 dihydropyrimidine dehydrogenase (NADP+) 	1.3.1.2	K00207	DPYD		
 dihydropyrimidinase 	3.5.2.2	K01464	DPYS	dht	
 dihydropyrimidinase 	3.5.2.2	K01464	DPYS	dht	
